"","999
086","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
087","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
096","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","24","4.000","25.0",".",".",".",".",".","",".","75.0","",".",".","",".",".",".",".",".","."
"NURSING
692","Dept. Total","1774","3.861","65.4","15.2","2.6","0.4","0.1","0.1","",".","3.1","",".","11.7","",".","0.9","0.3",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","41","3.723","75.6","7.3","9.8","2.4",".","2.4","",".",".","",".","2.4","",".",".",".",".",".","."
"Sophomore","","45","3.888","88.9","6.7",".","2.2","2.2",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","265","3.838","51.7","17.7","1.5","0.4",".",".","",".",".","",".","28.7","",".",".",".",".",".","."
"Senior","","1084","3.866","66.6","17.3","2.4","0.2","0.1",".","",".",".","",".","12.0","",".","1.4",".",".",".","."
"Undergraduates","","1435","3.859","64.8","16.8","2.4","0.3","0.1","0.1","",".",".","",".","14.4","",".","1.0",".",".",".","."
"Special","","4","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","319","3.873","66.8","8.8","3.8","0.3",".","0.3","",".","17.2","",".","0.3","",".","0.3","1.9",".","0.3","."
"Prof Yr 4","","16","3.804","81.3","6.3","6.3","6.3",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","16","3.804","81.3","6.3","6.3","6.3",".",".","",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1774","3.861","65.4","15.2","2.6","0.4","0.1","0.1","",".","3.1","",".","11.7","",".","0.9","0.3",".","0.1","."
