"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"801","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","","5","***","","","","","","","","","","","","","","","",""
"822
Family Law I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"835","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"835","002","","17","3.875","70.6","23.5",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Adv Soc Work Pract-Mental Hlth","Course Total","","27","3.827","66.7","25.9","3.7",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"840","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","002","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"874
Adv Prac-Hlth, Aging, Disablty","001","","25","3.800","68.0","24.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Hlth, Aging, Disably Pol&Serv","001","","22","3.795","68.2","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Prevention Science","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","001","","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","002","","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld, Youth, Fam Pol&Services","Course Total","","34","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Child Welfare","001","","16","3.688","43.8","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"923
Family Violence","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"946
Faculty Research Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"949
Proseminar","001","","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"950
PhD Proseminar","001","","8","3.917","62.5","12.5",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","","16","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","10","4.000","80.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".","10.0","."
