"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"","682","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","691","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","057","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","695","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Creative Writing","","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","114","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Compositn Thry","706","001","","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Discourse Analysis","710","001","","10","3.778","60.0","20.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Topc-Contmp English Linguis","713","001","","11","4.000","81.8",".",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"Crit Meth-Brit & Amer Lit","723","001","","15","3.633","73.3","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Feminist Theory & Criticism","737","001","","13","3.833","61.5","30.8",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Medieval Literature","753","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Renaissance Lit","764","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"18th Century British Novel","773","001","","14","3.875","71.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"Graduate Fiction Workshop","781","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Poetry Workshop","782","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing Pedagogy Smr","783","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","785","005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","785","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","785","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"MFA Thesis","","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","790","002","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Proseminar-Teaching of Writing","","Course Total","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","795","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","795","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"One-credit Seminar","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"English Victorian Period","802","001","","12","3.864","75.0","8.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"20th Century Literature","823","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","868","001","","16","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","868","002","","18","3.844","61.1","27.8",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"World/Postcolonial Lit-English","","Course Total","","34","3.917","73.5","14.7",".",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"Topics in Composition Study","900","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","","Page 206 of 402",""
