"","990
070","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
071","4","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
084","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","36","",".",".",".",".",".","",".","",".","72.2","",".",".",".","25.0","2.8",".",".","."
"POP HLTH
810","Dept. Total","730","3.768","48.5","15.8","4.0","0.7","0.1","",".","",".","27.7","",".",".",".","1.2","1.9",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","8","3.265","50.0",".","37.5","12.5",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Senior","","43","3.474","44.2","20.9","14.0","7.0","2.3","",".","",".","9.3","",".",".",".",".","2.3",".",".","."
"Undergraduates","","51","3.442","45.1","17.6","17.6","7.8","2.0","",".","",".","7.8","",".",".",".",".","2.0",".",".","."
"Special","","35","3.706","54.3","34.3","8.6",".",".","",".","",".","2.9","",".",".",".",".",".",".",".","."
"Graduate","","228","3.797","55.3","18.4","4.8","0.4",".","",".","",".","15.8","",".",".",".","3.9","1.3",".",".","."
"Prof Yr 1","","169","3.833","4.1","1.2",".",".",".","",".","",".","94.1","",".",".",".",".",".",".",".","0.6"
"Prof Yr 2","","10","4.000","80.0",".",".",".",".","",".","",".","20.0","",".",".",".",".",".",".",".","."
"Prof Yr 3","","10","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 4","","227","3.810","70.9","22.0","2.6",".",".","",".","",".",".","",".",".",".",".","4.4",".",".","."
"Professionals","","416","3.823","44.7","12.5","1.4",".",".","",".","",".","38.7","",".",".",".",".","2.4",".",".","0.2"
"","Dept. Total","730","3.768","48.5","15.8","4.0","0.7","0.1","",".","",".","27.7","",".",".",".","1.2","1.9",".",".","0.1"
