"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"675","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"675","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"675","003","","10","3.588","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","15","3.767","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","007","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"General Seminar","Course Total","","77","3.948","94.8","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"676
Bilingualism&Biliteracy-Schls","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"690","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Field Work","Course Total","","3","***","","","","","","","","","","","","","","","",""
"692
School Practicum in Com Dis","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","152","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","188","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","22","4.000","77.3",".",".",".",".",".",".",".",".",".",".",".","13.6",".","9.1","."
"704
Curriculum Planning","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"708
The Study of Teaching","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Design of Rsch in Curric","001","","12","3.909","75.0","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"718
Introd to Narrative Inquiry","001","","20","3.972","85.0","5.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"719
Intro to Qualitative Research","001","","21","3.738","57.1","38.1",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"744
Perspectvs-Multicultrl Educ","001","","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"752
Teach Chldrn:Rdg Recov Pract I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"753
Tch Tchrs:Rdg Recov Leadrshp I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"800
Iss-Ed Communication Tech","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"805
Guidng&Directg-Sch Rdg Prog","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"811
Instruction of Mathematics","001","","14","3.885","71.4","21.4",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"830
Theory & Dsgn of the Curric","001","","20","3.875","45.0","15.0",".",".",".",".",".",".",".",".",".",".","40.0",".",".","."
"840
Fld-School Reading Programs","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"855
Issues-Elementary Education","001","","13","3.955","76.9","7.7",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"916
Spec Topics:Rsch&Eval-C&I","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"946
Past Perspectives-Music Educ","001","","9","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","","Page 83 of 402"
