"","990
020","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
021","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","39","",".",".",".",".",".",".",".","92.3","",".",".",".","7.7",".",".",".","."
"CBE
220","Dept. Total","1011","3.144","28.2","16.8","20.7","9.0","8.8","3.2","0.5","10.3","",".","0.8",".","1.3","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","34","2.995","8.8","23.5","41.2","11.8","14.7",".",".",".","",".",".",".",".",".",".",".","."
"Junior","","180","3.049","27.2","21.1","22.2","10.6","12.8","5.6","0.6",".","",".",".",".",".",".",".",".","."
"Senior","","527","3.080","30.4","16.5","23.0","12.5","11.0","4.0","0.6",".","",".","1.1",".",".","0.9",".",".","."
"Undergraduates","","742","3.069","28.7","17.9","23.6","12.0","11.6","4.2","0.5",".","",".","0.8",".",".","0.7",".",".","."
"Special","","5","3.143","40.0","20.0",".","20.0","20.0",".",".",".","",".",".",".",".",".",".",".","."
"Graduate","","291","3.551","33.3","12.4","11.7","0.3","0.7","0.3","0.3","35.7","",".","0.7",".","4.5",".",".",".","."
"","Dept. Total","1038","3.144","30.1","16.4","20.1","8.8","8.6","3.1","0.5","10.0","",".","0.8",".","1.3","0.5",".",".","."
