"TERM : 1112","","","","Percentage Distribution of Grades","","","","","","","","","","","","Office of the Registrar"
"Fall 2010-2011","","","","","","","","","","","","","","","","Institutional Reporting"
"","","","","University of Wisconsin - Madison","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","",""
"SCIENCE & TECHNOLOGY STUD Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"875
STS","","","","","","","","","","","","","","","",""
"Current Topics-Sci & Tech St","902
001
6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".   
.   
."
"STS
875","6
Dept. Total","",".",".",".",".",".",".",".",".",".","100.0",".",".","",".  
.  
.  
."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"875
STS","","","","","","","","","","","","","","","",""
"Sophomore","1","",".",".",".",".",".",".",".",".",".","100.0",".",".","",".  
.  
.  
."
"Undergraduates","1","",".",".",".",".",".",".",".",".",".","100.0",".",".","",".  
.  
.  
."
"Graduate","5","",".",".",".",".",".",".",".",".",".","100.0",".",".","",".  
.  
.  
."
"","Dept. Total
6","",".",".",".",".",".",".",".",".",".","100.0",".",".","",".  
.  
.  
."
"January 24, 2011","","","","","","","","","","","","","","","","Page 295 of 402"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","",""
"*** Please note: In order to protect student privacy, grade distributions for classes or class sections with fewer than five students have been redacted.","","","","","","","","","","","","","","","",""
