"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
101","11","3.182","9.1","36.4","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","271
102","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
103","12","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","271
104","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 3","Course Total","46","3.446","28.3","41.3","23.9","4.3","2.2",".",".",".",".",".",".",".",".",".",".","."
"Black Mus(1920-Pres)-Trumpt","310
001","13","3.458","30.8","23.1","38.5",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Jazz Improvisation","331
001","28","3.929","89.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
002","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pedagogy","Course Total","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-String Pedagogy","345
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","346
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Concepts of Music","351
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","361
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Non-Western Music Performnc","Course Total","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","40
001","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mus Cultr: Afr, Eur, Amers","400
001","16","3.563","37.5","43.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Concert Band","41
001","55","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Middle Ages","411
001","23","3.548","47.8","8.7","30.4","4.3",".",".",".","4.3",".",".",".",".","4.3",".",".","."
"Survey Music-Baroque Era","413
001","28","2.942","25.0","7.1","35.7","3.6","14.3","3.6","3.6",".",".",".",".",".","7.1",".",".","."
"Survey Music-20th C","416
001","30","3.293","23.3","20.0","43.3","10.0",".",".",".",".",".",".",".",".",".",".","3.3","."
"Varsity Band","42
001","300","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
001","108","3.916","86.1","10.2","1.9","0.9",".",".",".",".","0.9",".",".",".",".",".",".","."
"","43
002","106","3.920","88.7","6.6","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
