"Studies - Environment & Health","713
001","3","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Drs & Delusions: Madness & Med","743
001","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Grad Studies-Medical Hist","919
001","4","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Advanced Independent Study","999
001","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"MED HIST
452","Dept. Total","115","3.488","30.4","33.9","23.5","2.6","2.6","",".","",".","3.5","",".",".","",".","0.9","2.6",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.500","50.0",".","50.0",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","15","3.429","26.7","40.0","13.3","13.3",".","",".","",".",".","",".",".","",".",".","6.7",".",".","."
"Senior","","44","3.418","29.5","31.8","18.2","2.3","6.8","",".","",".","9.1","",".",".","",".",".","2.3",".",".","."
"Undergraduates","","61","3.424","29.5","32.8","18.0","4.9","4.9","",".","",".","6.6","",".",".","",".",".","3.3",".",".","."
"Special","","13","3.500","23.1","30.8","38.5",".",".","",".","",".",".","",".",".","",".",".","7.7",".",".","."
"Graduate","","34","3.632","35.3","32.4","29.4",".",".","",".","",".",".","",".",".","",".","2.9",".",".",".","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","6","3.656","33.3","50.0","16.7",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","7","3.647","28.6","57.1","14.3",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","115","3.488","30.4","33.9","23.5","2.6","2.6","",".","",".","3.5","",".",".","",".","0.9","2.6",".",".","."
