"Foundations of US Air Force I","Course Total","","23","3.913","87.0","8.7","4.3",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Evolution of US Air & Space I","201
001","","19","3.579","68.4","15.8","5.3","5.3","",".","",".","5.3",".","",".","",".",".","",".","",".","",".",".","."
"Leadership Studies I","303
001","","10","3.850","70.0","30.0",".",".","",".","",".",".",".","",".","",".",".","",".","",".","",".",".","."
"National Security Affairs","401
001","","14","3.929","85.7","14.3",".",".","",".","",".",".",".","",".","",".",".","",".","",".","",".",".","."
"A F AERO
102","Dept. Total","","66","3.846","78.8","15.2","3.0","1.5","",".","",".","1.5","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","14","3.857","78.6","14.3","7.1",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","14","3.938","85.7","14.3",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","12","3.804","66.7","25.0","8.3",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","23","3.931","87.0","8.7",".","4.3","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","63","3.890","81.0","14.3","3.2","1.6","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","0.000",".",".",".",".","",".","",".","100.0","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","2","3.625","50.0","50.0",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","66","3.846","78.8","15.2","3.0","1.5","",".","",".","1.5","",".","",".",".","",".","",".","",".",".",".","."
