"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201
001","","343","3.425","25.1","39.9","31.5","1.2","0.6","0.9",".",".",".",".",".",".","0.9",".",".","."
"Mass Communication Practices","202
001","","104","3.139","12.5","23.1","51.0","8.7","3.8","1.0",".",".",".",".",".",".",".",".",".","."
"","335
001","","14","3.214","21.4","14.3","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","335
002","","15","3.750","60.0","20.0","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","335
003","","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
004","","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
005","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","","64","3.603","43.8","34.4","17.2","3.1",".",".",".","1.6",".",".",".",".",".",".",".","."
"","345
001","","31","3.645","45.2","38.7","16.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
002","","27","3.685","51.9","37.0","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","345
003","","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","Course Total","","87","3.770","64.4","26.4","8.0","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","404
001","","15","3.571","40.0","26.7","26.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Creative Nonfiction","405
001","","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Magazines&Magazine Editing","417
001","","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419
001","","14","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","445
001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","447
001","","20","3.675","35.0","65.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Stratgy-Strategc Campaign","449
001","","23","3.826","73.9","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","559
001","","53","2.849","18.9","15.1","32.1","7.5","18.9","3.8","3.8",".",".",".",".",".",".",".",".","."
"Effects-Mass Communication","565
001","","99","3.265","31.3","24.2","23.2","12.1","5.1","3.0",".",".",".",".",".",".",".",".",".","1.0"
"Mass Media and Youth","616
001","","25","3.520","28.0","48.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","","18","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Communication","Course Total","","39","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","646
001","","103","3.481","40.8","29.1","23.3","2.9","2.9",".","1.0",".",".",".",".",".",".",".",".","."
"Communication Rsch Methods","658
001","","29","3.862","75.9","20.7","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Minorities","662
001","","95","3.415","28.4","33.7","29.5","6.3","1.1",".",".",".",".",".",".",".","1.1",".",".","."
"Prof Responsiblty in Mass Comm","666
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literary Aspects of Journ","669
001","","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
022","","14","3.443","35.7","28.6","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","676
035","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
036","","22","3.939","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
037","","22","3.725","45.5","40.9","4.5",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Topics-Mass Communication","Course Total","","79","3.807","68.4","21.5","6.3",".","1.3",".",".","2.5",".",".",".",".",".",".",".","."
"","681
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","Page 238 of 402",""
