"","999
032","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
033","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
041","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Study","Course Total","7","3.925","85.7","14.3",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"DS
359","Dept. Total","658","3.414","39.7","24.8","19.3","7.4","3.6","1.4","",".","1.4","",".",".","",".","0.2","2.1",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","51","3.164","27.5","31.4","13.7","15.7","5.9","3.9","",".",".","",".",".","",".",".","2.0",".",".","."
"Sophomore","","90","3.346","37.8","24.4","21.1","7.8","4.4","2.2","",".",".","",".",".","",".",".","1.1",".","1.1","."
"Junior","","181","3.436","42.5","23.2","18.8","8.8","2.2","1.1","",".",".","",".",".","",".",".","3.3",".",".","."
"Senior","","282","3.416","37.6","26.2","23.0","6.4","4.3","0.7","",".",".","",".",".","",".",".","1.8",".",".","."
"Undergraduates","","604","3.392","38.2","25.5","20.7","8.1","3.8","1.3","",".",".","",".",".","",".",".","2.2",".","0.2","."
"Special","","4","3.125","50.0","25.0",".",".",".","25.0","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","50","3.783","56.0","16.0","4.0",".","2.0",".","",".","18.0","",".",".","",".","2.0","2.0",".",".","."
"","Dept. Total","658","3.414","39.7","24.8","19.3","7.4","3.6","1.4","",".","1.4","",".",".","",".","0.2","2.1",".","0.2","."
