"PROFESSIONAL ORIENTATION","Section","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"812
PRO OR","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Career Orientation","200
001","","29","3.889","75.9","13.8","3.4",".","","",".",".","",".","","6.9",".","",".",".","",".","",".","",".",".","."
"PRO OR
812","Dept. Total","","29","3.889","75.9","13.8","3.4","",".","",".","",".","",".","6.9","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"812
PRO OR","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","6","4.000","83.3",".",".","",".","",".","",".","",".","16.7","",".",".","",".","",".","",".",".",".","."
"Junior","","","12","3.958","91.7","8.3",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","10","3.750","60.0","30.0","10.0","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","28","3.889","78.6","14.3","3.6","",".","",".","",".","",".","3.6","",".",".","",".","",".","",".",".",".","."
"Graduate","","","1","",".",".",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","29","3.889","75.9","13.8","3.4","",".","",".","",".","",".","6.9","",".",".","",".","",".","",".",".",".","."
