"","990
031","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
035","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
036","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","42","",".",".",".",".",".","",".","",".","40.5","",".",".",".","59.5","",".",".",".","."
"PHMCOL-M
724","Dept. Total","131","3.433","35.9","13.7","13.7","1.5","1.5","",".","",".","13.0","",".",".",".","19.1","",".",".","1.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","3.400","50.0",".","50.0",".",".","",".","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","6","3.308","33.3","33.3",".",".","16.7","",".","",".",".","",".",".",".",".","",".",".","16.7","."
"Undergraduates","","8","3.333","37.5","25.0","12.5",".","12.5","",".","",".",".","",".",".",".",".","",".",".","12.5","."
"Special","","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","113","3.439","37.2","12.4","14.2","1.8","0.9","",".","",".","13.3","",".",".",".","19.5","",".",".","0.9","."
"Prof Yr 1","","1","",".",".",".",".",".","",".","",".",".","",".",".",".","100.0","",".",".",".","."
"Prof Yr 3","","2","3.500",".","50.0",".",".",".","",".","",".",".","",".",".",".","50.0","",".",".",".","."
"Prof Yr 4","","6","3.667","33.3",".","16.7",".",".","",".","",".","33.3","",".",".",".","16.7","",".",".",".","."
"Professionals","","9","3.625","22.2","11.1","11.1",".",".","",".","",".","22.2","",".",".",".","33.3","",".",".",".","."
"","Dept. Total","131","3.433","35.9","13.7","13.7","1.5","1.5","",".","",".","13.0","",".",".",".","19.1","",".",".","1.5","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","","","","Page 363 of 402",""
