"GEOLOGY & GEOPHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","",""
"875","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875","003","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Topics in Geology","Course Total","24","3.944","70.8",".","4.2",".",".",".",".","12.5",".",".",".",".",".","12.5",".","."
"990","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","020","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","024","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","59","",".",".",".",".",".",".",".","71.2","1.7",".",".","27.1",".",".",".","."
"991
Seminar: Geophysics","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"GEOLOGY
420","Dept. Total","1412","2.995","23.3","17.7","22.0","13.7","11.4","2.5","1.1","5.5","0.1","0.1",".","1.6","0.4","0.8","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","",""
"Freshmen","","196","2.900","16.3","21.9","27.0","14.8","14.8","3.6","0.5",".",".",".",".",".",".","1.0",".","."
"Sophomore","","297","2.934","17.8","19.2","24.2","19.5","14.8","1.7","1.3",".",".",".",".",".","1.0","0.3",".","."
"Junior","","266","2.861","21.1","16.5","22.2","17.7","14.3","4.5","1.5","1.1",".","0.4",".",".","0.4","0.4",".","."
"Senior","","469","2.992","25.2","19.6","24.1","12.2","10.7","2.1","1.3","3.2",".",".",".","1.3",".","0.2","0.2","."
"Undergraduates","","1228","2.933","21.1","19.2","24.2","15.6","13.1","2.8","1.2","1.5",".","0.1",".","0.5","0.3","0.4","0.1","."
"Special","","24","3.556","16.7","8.3","4.2","4.2",".",".",".","54.2",".",".",".",".",".","12.5",".","."
"Graduate","","159","3.710","40.9","7.5","7.5","0.6",".","0.6",".","28.9","0.6",".",".","10.1","1.3","1.9",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1412","2.995","23.3","17.7","22.0","13.7","11.4","2.5","1.1","5.5","0.1","0.1",".","1.6","0.4","0.8","0.1","."
