"PHYSIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","",""
"335
Physiology","001","","478","2.739","23.2","5.0","34.5","2.9","19.2","10.7","3.1","0.4",".",".",".",".","0.4",".","0.4","."
"610
Cellular&Molecular Neurosci","001","","8","2.625",".","37.5",".","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"629
Molec & Cellular Mech-Memory","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"675","001","","25","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","25","3.630","28.0","72.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","004","","25","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Selected Topics-Physiology","Course Total","","76","3.611","28.9","63.2","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","22","3.979","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Work","Course Total","","44","3.993","95.5","2.3",".",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"725
Muscle Biology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"814
Molecular Technologies I","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"830
Tech Apps-Early Drug Discovery","001","","25","3.700","44.0","52.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"834
Molecular Technologies III","001","","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"841
Bus of Biotech:Challenges&Apps","001","","25","3.520","32.0","40.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","36","",".",".",".",".",".",".",".","97.2",".",".",".","2.8",".",".",".","."
