"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","344
016","15","3.167","26.7","20.0","20.0","26.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
017","18","3.333","27.8","33.3","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","018
344","16","3.438","37.5","37.5","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","344
019","15","3.200","26.7","20.0","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
020","17","2.824","17.6","17.6","17.6","17.6","23.5","5.9",".",".",".",".",".",".",".",".",".","."
"","344
021","18","3.361","33.3","22.2","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","344
022","15","3.167","20.0","13.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","344
023","11","3.091","36.4","9.1","18.2","27.3",".","9.1",".",".",".",".",".",".",".",".",".","."
"","344
024","18","3.306","27.8","22.2","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","344
025","12","3.208","25.0","16.7","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","344
026","12","3.125","8.3","33.3","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","027
344","14","3.286","21.4","42.9","21.4",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","367","3.218","24.5","23.4","30.0","16.3","5.2","0.5",".",".",".",".",".",".",".",".",".","."
"","345
001","137","2.724","17.5","12.4","21.9","10.9","27.7","4.4","2.9",".",".",".",".",".","0.7",".","0.7","0.7"
"","002
345","238","2.879","15.1","22.7","31.1","7.1","14.3","5.9","2.9","0.4",".",".",".",".",".",".","0.4","."
"Intmed Organic Chemistry","Course Total","375","2.823","16.0","18.9","27.7","8.5","19.2","5.3","2.9","0.3",".",".",".",".","0.3",".","0.5","0.3"
"","346
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
002","21","3.452","33.3","33.3","28.6",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chem Lab","Course Total","22","3.453","31.8","36.4","27.3",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","19","3.737","73.7","21.1",".",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Inorganic Chemistry","511
001","31","2.935","12.9","22.6","32.3","16.1","12.9",".","3.2",".",".",".",".",".",".",".",".","."
"Chemical Instrumentation","524
001","24","3.239","16.7","29.2","37.5","8.3","4.2",".",".",".",".",".",".",".",".",".","4.2","."
"Advanced Organic Chemistry","547
001","26","3.174","26.9","11.5","30.8","3.8","15.4",".",".","3.8",".",".",".",".","7.7",".",".","."
"Physical Chemistry","561
001","42","2.866","23.8","4.8","35.7","2.4","26.2","2.4","2.4","2.4",".",".",".",".",".",".",".","."
"Physical Chemistry","562
001","72","2.993","22.2","16.7","31.9","12.5","11.1","2.8","2.8",".",".",".",".",".",".",".",".","."
"","563
001","21","3.357","42.9","23.8","14.3","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","563
003","19","3.132","31.6","15.8","26.3","10.5","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","563
004","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","563
006","10","3.100","10.0","20.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","63","3.357","41.3","20.6","20.6","9.5","4.8","3.2",".",".",".",".",".",".",".",".",".","."
"","564
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","11","3.455","54.5",".","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Biophysical Chemistry","565
001","111","2.982","36.0","5.4","22.5","12.6","17.1","1.8","4.5",".",".",".",".",".",".",".",".","."
"","567
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","567
003","7","2.571","14.3","14.3",".","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Laboratory","Course Total","12","2.750","16.7","25.0","8.3","25.0","8.3","16.7",".",".",".",".",".",".",".",".",".","."
"Symmtry/Bondng/Molec Shapes","608
001","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instrumental Analysis","621
001","17","3.642","35.3","47.1","11.8",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Separations-Chem Analysis","625
001","18","3.750","50.0","16.7","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","11.1"
"Topics-Analytical Chemistry","630
001","21","3.575","28.6","57.1","4.8","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
