"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"The Information Society","201
001","128","3.413","44.5","22.7","20.3","1.6","7.8","0.8","1.6",".",".",".",".",".","0.8",".",".","."
"","450
001","40","3.850","72.5","25.0","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
002","34","3.838","76.5","14.7","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
003","29","3.776","69.0","20.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Info Agencies & Their Envir","Course Total","103","3.825","72.8","20.4","5.8","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","451
001","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
002","29","3.741","65.5","24.1","6.9",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","451
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundatns of Reference Service","Course Total","70","3.893","85.7","10.0","2.9",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"Fld Mthd&Pub Presntn-Folklr","490
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","551
001","19","3.684","68.4","10.5","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","21","3.825","66.7","23.8","4.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Organization of Information","Course Total","40","3.756","67.5","17.5","7.5","5.0",".",".",".",".",".",".",".",".","2.5",".",".","."
"Hist-American Librarianship","569
001","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Books&Print Culture","570
001","16","3.767","62.5","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","6.3","."
"","620
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Childrens Literature","622
001","22","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","635
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reference & Info Service","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Literacy Pedagogy","639
001","20","3.921","85.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"Topics-Library&Informatn St","640
001","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","644
001","39","3.962","97.4",".",".","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intellectual Freedom&Libr","645
001","12","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","654
001","13","3.577","38.5","46.2","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","655
001","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","661
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","661
002","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","661
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Information Ethics and Policy","Course Total","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Public Library","712
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","751
001","19","3.737","73.7","10.5","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","751
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","751
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Database Dsgn-Lib&Info Agency","Course Total","23","3.761","73.9","13.0","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Smr-Info Agency Management","754
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","772
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","772
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","772
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lib Serv-Chldrn&Young Adult","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
