"KINESIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"","116","001","23","3.609","43.5","34.8","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","002","24","3.771","58.3","37.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid","","Course Total","47","3.691","51.1","36.2","12.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119","001","117","3.698","67.5","18.8","7.7",".","3.4","0.9","0.9","0.9",".",".",".",".",".",".",".","."
"Foundations of Physical Educ","121","001","15","3.533","26.7","53.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gymnastics for Teaching","126","001","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Athletic Training","127","001","45","3.067","15.6","15.6","44.4","15.6","8.9",".",".",".",".",".",".",".",".",".",".","."
"","300","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Tech-Athletic Training","301","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","48","3.385","18.8","43.8","35.4",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recog&Eval-Athletc Injuries","317","001","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318","001","42","3.417","40.5","28.6","16.7","7.1","4.8","2.4",".",".",".",".",".",".",".",".",".","."
"","323","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","25","3.958","92.0",".","4.0",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Phy Ed-Elem School Children","","Course Total","48","3.979","95.8",".","2.1",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"Research in Kinesiology","330","001","36","3.569","38.9","36.1","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Teachng Elem Phy Ed","335","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350","001","56","3.429","33.9","25.0","35.7","3.6","1.8",".",".",".",".",".",".",".",".",".",".","."
"Rehab/Treat Athltc Injuries","358","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","44","3.227","36.4","15.9","27.3","6.8","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"Field-Athletic Training","450","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Athletic Training","499","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Kinesiology","508","001","11","3.350","27.3","27.3","27.3",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Exercise Psychology","600","001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Tech-Exercise Physiol","615","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
