"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"818
Archive Accessioning&Appraisal","001","","11","3.700","45.5","36.4","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"820
Topics in Community Engagement","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"826
Fld Project-Lib&Info Literacy","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"855
Topics-Info Agency Managemt","001","","17","3.706","64.7","23.5","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"875
Topics-Info Procsng&Retrvl","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"879
Digital Libraries","001","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975
Smr-Info Organization & Access","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","","26","3.982","88.5","3.8",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
