"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"299","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"301
Intro to Sci & Technol of Food","001","","53","3.094","17.0","24.5","28.3","20.8","9.4",".",".",".",".",".",".",".",".",".",".","."
"324
Food Microbiology Laboratory","001","","10","2.950","20.0","30.0","20.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"325
Food Microbiology","001","","36","2.472",".","25.0","16.7","19.4","25.0","11.1","2.8",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"410
Food Chemistry","001","","43","2.988","18.6","20.9","18.6","23.3","14.0","2.3",".",".",".",".",".",".",".",".","2.3","."
"437
Food Service Operations","001","","64","3.349","18.8","43.8","26.6","6.3","3.1",".",".",".",".",".",".",".","1.6",".",".","."
"438","001","","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"438","002","","18","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","","36","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Principles of Food Engr","001","","31","3.000","41.9","12.9","16.1",".","12.9","12.9","3.2",".",".",".",".",".",".",".",".","."
"515
Commercial Meat Processing","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"532
Integrated Food Manufacturing","001","","27","3.296","14.8","33.3","48.1","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"535
Confectionery Science&Technlgy","001","","17","3.294","29.4","11.8","52.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"602
Senior Project","001","","20","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","9","3.921","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"718
Colloid Chemistry of Foods","001","","13","3.667","38.5","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"799
Practicum-Food Sci Teaching","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Seminar Advanced","001","","38","4.000","13.2",".",".",".",".",".",".","86.8",".",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","39","",".",".",".",".",".",".",".","69.2","2.6",".",".","28.2",".",".",".","."
