"L&S","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"SOC
900","Dept. Total","3624","3.276","33.5","21.9","17.9","9.5","6.6","1.8","0.5","6.1","0.1","0.8","",".","0.4","0.9","0.0","0.2","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","663","3.058","22.6","22.5","23.4","16.0","12.4","1.5","0.8",".",".","0.2","",".",".","0.6",".","0.2","."
"Sophomore","","788","3.206","28.9","25.9","23.0","11.2","7.1","2.2","0.6",".",".","0.3","",".",".","0.8",".",".","0.1"
"Junior","","771","3.347","38.0","24.9","18.2","9.6","6.0","1.7","0.3","0.3","0.3","0.3","",".",".","0.5",".","0.1","."
"Senior","","902","3.353","39.2","23.6","16.7","7.8","5.7","2.5","0.6","1.9","0.2","0.4","",".","0.2","0.9","0.1","0.1","."
"Undergraduates","","3124","3.245","32.8","24.3","20.1","10.8","7.5","2.0","0.5","0.6","0.1","0.3","",".","0.1","0.7","0.0","0.1","0.0"
"Special","","29","3.055","27.6","6.9","31.0","13.8","6.9","3.4",".","3.4",".",".","",".",".",".",".","6.9","."
"Graduate","","465","3.842","38.1","6.9","2.4","0.2","0.4",".",".","43.0",".","4.5","",".","2.4","1.9",".","0.2","."
"Prof Yr 2","","3","3.500","33.3",".","33.3",".",".",".",".",".",".",".","",".",".","33.3",".",".","."
"Prof Yr 4","","3","4.000","66.7",".",".",".",".",".",".",".",".",".","",".",".","33.3",".",".","."
"Professionals","","6","3.700","50.0",".","16.7",".",".",".",".",".",".",".","",".",".","33.3",".",".","."
"","Dept. Total","3624","3.276","33.5","21.9","17.9","9.5","6.6","1.8","0.5","6.1","0.1","0.8","",".","0.4","0.9","0.0","0.2","0.0"
