"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","",""
"Contemp Iss-Engr Profession","101
001","243","3.658","65.0","21.8","5.8","2.9","2.1","0.8","1.6",".",".","",".",".","",".","",".","",".",".","."
"Intro-Society's Egr Challenges","102
001","120","3.342","43.3","25.0","13.3","8.3","5.0","2.5","2.5",".",".","",".",".","",".","",".","",".",".","."
"","160
001","177","3.701","59.9","23.7","13.6","2.3","0.6",".",".",".",".","",".",".","",".","",".","",".",".","."
"","160
002","180","3.556","43.3","34.4","16.7","3.3","1.7",".","0.6",".",".","",".",".","",".","",".","",".",".","."
"Intro to Engineering Design","Course Total","357","3.627","51.5","29.1","15.1","2.8","1.1",".","0.3",".","",".",".","",".","",".","",".",".",".","."
"","301
001","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","301
002","9","3.533","66.7","11.1","11.1",".","11.1",".",".",".",".","",".",".","",".","",".","",".",".","."
"Engr & Biology: Tech Symbiosis","Course Total","12","3.146","50.0","8.3","16.7","8.3","16.7",".",".",".","",".",".","",".","",".","",".",".",".","."
"Dean's Leadership Class","400
001","33","",".",".",".",".",".",".",".",".",".","","100.0",".","",".","",".","",".",".","."
"Current Issues in Intl Engr","413
001","12","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Topics-Interdis Engineering","601
001","18","4.000","94.4",".",".",".",".",".",".",".",".","",".",".","",".","",".","",".","5.6","."
"INTEREGR
496","Dept. Total","795","3.598","54.0","23.6","10.8","3.5","2.1","0.6","1.0",".","",".","4.2","",".","",".","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","517","3.568","53.8","25.0","12.8","4.1","2.1","0.8","1.5",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","295","3.687","69.8","18.6","5.4","1.4","1.4","0.3",".","2.0","",".","0.7","",".","",".","",".","0.3",".","."
"Junior","","78","3.567","82.1","3.8","2.6","1.3",".",".",".","3.8","",".","6.4","",".","",".","",".",".",".","."
"Senior","","58","3.551","58.6","1.7","1.7","1.7","3.4",".",".",".","",".","32.8","",".","",".","",".",".",".","."
"Undergraduates","","948","3.600","61.4","19.8","9.0","2.8","1.8","0.5","0.8","0.9","",".","2.7","",".","",".","",".","0.1",".","."
"Special","","6","3.000","33.3",".","16.7","16.7",".",".",".",".","",".","16.7","",".","",".","",".",".","16.7","."
"Graduate","","6","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".","",".",".",".","."
"","Dept. Total","960","3.598","60.8","19.6","9.0","2.9","1.8","0.5","0.8","0.9","",".","3.4","",".","",".","",".","0.1","0.1","."
