"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","","",""
"","300
003","9","3.583","22.2","33.3","11.1",".",".",".",".","33.3",".",".",".","",".","",".",".",".","."
"Workshop-Physical Activity","Course Total","29","3.896","69.0","10.3","3.4",".",".",".",".","17.2",".",".","",".","",".",".",".",".","."
"Swim Endur&Stroke Proficncy","301
001","16","3.900","81.3","6.3","6.3",".",".",".",".","6.3",".",".",".","",".","",".",".",".","."
"Aquatic Conditioning","303
001","15","4.000","80.0",".",".",".",".",".",".","13.3",".",".",".","",".","","6.7",".",".","."
"Water Safety Instructor","310
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Tennis III","362
001","12","3.500","16.7","25.0","16.7",".",".",".",".","41.7",".",".",".","",".","",".",".",".","."
"PE ACTIV
740","Dept. Total","1591","3.420","46.4","17.3","10.1","4.1","3.4","1.2","0.7","15.3","0.4",".","",".","",".","0.4","0.1","0.5","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","248","3.151","46.0","16.9","14.9","6.9","7.7","4.0","0.8","1.6",".",".","",".","",".","1.2",".",".","."
"Sophomore","","356","3.370","51.1","19.1","12.1","4.5","4.2","1.1","1.4","5.6","0.3",".","",".","",".",".","0.3",".","0.3"
"Junior","","321","3.465","52.3","16.2","8.7","5.3","3.4","0.9","0.6","11.5",".",".","",".","",".","0.9",".",".","."
"Senior","","495","3.654","50.3","19.6","8.7","2.2","1.0","0.4",".","16.6","0.8",".","",".","",".",".","0.2",".","0.2"
"Undergraduates","","1420","3.426","50.2","18.2","10.6","4.3","3.5","1.3","0.6","10.1","0.4",".","",".","",".","0.4","0.1",".","0.1"
"Special","","98","3.043","5.1","4.1","6.1","3.1","2.0",".",".","70.4","1.0",".","",".","",".",".",".","8.2","."
"Graduate","","68","3.403","25.0","17.6","2.9","1.5","2.9",".","2.9","45.6","1.5",".","",".","",".",".",".",".","."
"Prof Yr 1","","3","3.667","66.7",".","33.3",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","2","4.000","50.0",".",".",".",".",".",".","50.0",".",".","",".","",".",".",".",".","."
"Professionals","","5","3.750","60.0",".","20.0",".",".",".",".","20.0",".",".","",".","",".",".",".",".","."
"","Dept. Total","1591","3.420","46.4","17.3","10.1","4.1","3.4","1.2","0.7","15.3","0.4",".","",".","",".","0.4","0.1","0.5","0.1"
