"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"940","011","","14","1.714","21.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","015","","10","1.150","10.0","10.0",".",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"940","016","","7","2.071","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law & Contemporary Problems","Course Total","","64","1.568","15.6","3.1","25.0",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"950","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"950","002","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Lawyering Skills Course","Course Total","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Research","Course Total","","16","",".",".",".",".",".",".",".","87.5",".",".",".",".","6.3",".",".","6.3"
"991","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
