"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","269","3.650","57.2","24.5","8.9","2.2","2.2","1.1","0.4","3.3",".",".",".",".",".",".",".","."
"Intro-E Asian History:China","103","001","66","3.205","24.2","27.3","24.2","16.7","6.1","1.5",".",".",".",".",".",".",".",".",".","."
"The Ancient Mediterranean","110","001","153","3.459","30.1","40.5","18.3","3.3","3.3","0.7",".","3.3",".",".",".",".","0.7",".",".","."
"Modern Europe 1500-1815","119","001","135","3.305","14.1","46.7","28.1","5.2","1.5","0.7","0.7","0.7",".",".",".",".","0.7","1.5",".","."
"Europe&Mod World 1815-On","120","001","201","3.122","15.4","24.4","38.3","14.4","3.5","1.0","1.0","2.0",".",".",".",".",".",".",".","."
"English History to 1688","123","001","69","3.292","29.0","26.1","18.8","14.5","4.3","1.4",".","4.3",".",".",".",".",".",".",".","1.4"
"History-S Asia to Present","142","001","54","3.305","33.3","20.4","25.9","5.6","1.9","5.6",".",".",".",".",".",".",".",".","7.4","."
"Asian Am Hist:Movmnt&Dislocatn","160","001","66","3.685","57.6","24.2","7.6","1.5","1.5","1.5",".","3.0",".",".",".",".",".",".","3.0","."
"Directed Study","199","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","200","001","19","3.765","47.4","42.1",".",".",".",".",".","5.3",".",".",".",".",".",".","5.3","."
"","200","002","40","3.419","25.0","35.0","25.0","7.5",".",".",".","5.0",".",".",".",".","2.5",".",".","."
"","200","004","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies","","Course Total","74","3.594","40.5","33.8","14.9","4.1",".",".",".","4.1",".",".",".",".","1.4",".","1.4","."
"Islam Wrld:MidEast,500-1500","205","001","95","3.373","44.2","17.9","18.9","5.3","6.3","1.1","2.1","4.2",".",".",".",".",".",".",".","."
"Westrn Relig&Intellect Hist","208","001","51","3.277","17.6","31.4","29.4","11.8","2.0",".",".","7.8",".",".",".",".",".",".",".","."
"The American Jewish Experience","219","001","48","2.989","18.8","25.0","20.8","10.4","8.3","6.3","2.1","2.1",".",".",".",".",".",".","6.3","."
"Explorations in Amer Hist (H)","221","001","57","3.264","36.8","10.5","24.6","10.5","8.8","1.8",".","7.0",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","223","001","43","3.167","16.3","23.3","34.9","23.3",".",".",".","2.3",".",".",".",".",".",".",".","."
"Exploration-3rd World Hist (H)","225","001","44","3.714","52.3","31.8","11.4",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Mod Latin Am, 1898 to Present","242","001","107","3.362","22.4","39.3","27.1","5.6","3.7",".",".","0.9",".",".",".",".","0.9",".",".","."
"SE Asia:Vietnam to Philipns","244","001","38","3.242","21.1","26.3","28.9","5.3",".","5.3",".","13.2",".",".",".",".",".",".",".","."
"History of American Capitalism","247","001","128","3.318","21.9","34.4","21.9","10.2","3.1","0.8",".","5.5",".",".",".",".","0.8","0.8",".","0.8"
"Civs of India-Modern Period","252","001","32","3.569","28.1","50.0","9.4","3.1",".",".",".","3.1",".",".",".",".","6.3",".",".","."
"Africa: Introductory Survey","277","001","46","2.964","10.9","8.7","43.5","19.6","8.7",".",".","8.7",".",".",".",".",".",".",".","."
"The Renaissance","333","001","73","3.583","30.1","47.9","16.4",".",".",".",".","5.5",".",".",".",".",".",".",".","."
"The Caribbean & its Diasporas","347","001","65","3.290","38.5","18.5","21.5","3.1","10.8","1.5","1.5","1.5",".",".",".",".",".",".","3.1","."
"History-Europe Since 1945","359","001","153","2.970","11.8","19.6","28.8","15.7","10.5","2.0","0.7","11.1",".",".",".",".",".",".",".","."
"Hist of Africa, 1500-1870","377","001","63","2.951","11.1","30.2","25.4","17.5","6.3","1.6","4.8","3.2",".",".",".",".",".",".",".","."
"Hist of Africa Since 1870","378","001","49","3.306","26.5","30.6","28.6","8.2","6.1",".",".",".",".",".",".",".",".",".",".","."
"Military Hist-United States","396","001","120","3.025","11.7","25.0","33.3","15.0","6.7","2.5","0.8","4.2",".",".",".",".","0.8",".",".","."
"Immigratn&Assimlatn-Am Hist","403","001","69","3.587","46.4","36.2","13.0","1.4",".",".","1.4","1.4",".",".",".",".",".",".",".","."
"History-American Education","412","001","69","3.110","14.5","34.8","26.1","13.0","7.2","1.4","1.4",".",".",".",".",".","1.4",".",".","."
"History of Soviet Russia","419","001","70","3.223","14.3","32.9","38.6","4.3","4.3","1.4",".","1.4",".",".",".",".","2.9",".",".","."
"Russian Social&Intel Hist","420","001","65","3.376","21.5","27.7","21.5","4.6","3.1",".",".","12.3",".",".",".",".","7.7",".","1.5","."
"Hist Southeast Asia to 1800","457","001","36","3.448","22.2","44.4","27.8",".",".",".",".","2.8",".",".",".",".","2.8",".",".","."
"Rule of Law:Philos&Hist Models","459","001","24","3.479","29.2","45.8","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","83","3.416","36.1","22.9","21.7","8.4","2.4","1.2",".","6.0",".",".",".",".","1.2",".",".","."
"The American West to1850","461","001","63","3.223","17.5","25.4","31.7","11.1","1.6","1.6",".","11.1",".",".",".",".",".",".",".","."
"Topics in S Asian History","463","001","15","3.400","40.0","20.0","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Dimensions of Material Culture","464","001","9","2.938","11.1","22.2","22.2","11.1","22.2",".",".",".",".",".",".",".","11.1",".",".","."
"","500","001","12","3.818","58.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","Page 222 of 402",""
