"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","73","3.352","27.4","41.1","16.4","8.2","1.4",".","2.7","1.4",".",".",".",".",".","1.4",".","."
"","101
002","69","2.949","14.5","14.5","42.0","15.9","5.8","4.3","1.4","1.4",".",".",".",".",".",".",".","."
"","101
004","72","2.910","12.5","16.7","30.6","29.2","8.3","1.4","1.4",".",".",".",".",".",".",".",".","."
"","101
006","73","3.336","27.4","31.5","32.9","5.5",".","1.4","1.4",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","287","3.139","20.6","26.1","30.3","14.6","3.8","1.7","1.7","0.7",".",".",".",".",".","0.3",".","."
"Spec Topics:Philos-Freshmen","104
001","21","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","75","3.440","44.0","25.3","16.0","6.7","6.7","1.3",".",".",".",".",".",".",".",".",".","."
"","210
002","77","2.914","23.4","16.9","22.1","15.6","10.4","9.1","1.3","1.3",".",".",".",".",".",".",".","."
"","210
003","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","174","3.266","39.7","20.1","17.2","9.8","7.5","4.6","0.6","0.6",".",".",".",".",".",".",".","."
"","211
001","76","3.217","51.3","11.8","10.5","7.9","10.5","2.6","5.3",".",".",".",".",".",".",".",".","."
"","211
002","74","3.365","16.2","62.2","10.8","5.4","2.7","2.7",".",".",".",".",".",".",".",".",".","."
"","211
003","18","3.389","27.8","38.9","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","168","3.301","33.3","36.9","11.9","6.5","6.5","2.4","2.4",".",".",".",".",".",".",".",".","."
"","241
001","65","3.305","29.2","16.9","41.5","6.2","4.6",".",".","1.5",".",".",".",".",".",".",".","."
"","002
241","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","241
003","76","3.453","32.9","36.8","19.7","5.3","3.9",".",".","1.3",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","157","3.439","36.9","25.5","27.4","5.1","3.8",".",".","1.3",".",".",".",".",".",".",".","."
"Ethics in Business","243
001","73","3.541","43.8","30.1","20.5","4.1",".","1.4",".",".",".",".",".",".",".",".",".","."
"Philosophy of the Arts","253
001","60","3.287","35.0","16.7","16.7","11.7","8.3","1.7",".","10.0",".",".",".",".",".",".",".","."
"Intro-Philos of Religion","261
001","45","3.500","33.3","31.1","22.2","2.2","2.2",".",".","8.9",".",".",".",".",".",".",".","."
"","341
001","154","3.709","66.2","18.8","11.0","1.3","0.6",".","1.3",".",".",".",".",".",".","0.6",".","."
"","341
091","18","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
092","17","3.625","47.1","23.5","23.5",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","341
093","18","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
094","20","3.675","80.0",".","5.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","227","3.680","61.7","20.7","13.2","1.3","1.3",".","0.9",".",".",".",".",".","0.4","0.4",".","."
"Hist of Ancient Philosophy","430
001","51","3.160","23.5","25.5","31.4","9.8","2.0","3.9","2.0",".",".",".",".",".","2.0",".",".","."
"History-Modern Philosophy","432
001","67","3.308","40.3","13.4","23.9","13.4","3.0","1.5","1.5","1.5",".",".",".",".","1.5",".",".","."
"French Philos-Existentialsm","440
001","56","3.463","42.9","28.6","8.9","7.1","8.9",".",".","3.6",".",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Philosophy of Religion","501
001","47","3.553","46.8","31.9","10.6","6.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"Language and Meaning","516
001","24","2.891","20.8","20.8","25.0","8.3","12.5",".","8.3",".",".",".",".",".","4.2",".",".","."
"Philos Prblms-Biol Sciences","523
001","28","3.058","25.0","17.9","39.3",".",".","3.6","7.1",".",".",".",".",".","7.1",".",".","."
"Philosophy and Literature","526
001","20","2.789","25.0","15.0","15.0","15.0","15.0",".","10.0","5.0",".",".",".",".",".",".",".","."
"Modern Ethical Theories","541
001","24","3.188","16.7","37.5","25.0","8.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","543
001","23","3.432","43.5","13.0","30.4",".","8.7",".",".","4.3",".",".",".",".",".",".",".","."
"","543
002","10","3.333","20.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"Special Topics in Ethics","Course Total","33","3.403","36.4","18.2","30.3","3.0","6.1",".",".","3.0",".",".",".",".","3.0",".",".","."
"Philos Concepts-Tch&Learng","545
001","17","3.786","47.1","35.3",".",".",".",".",".",".",".",".",".",".","17.6",".",".","."
"Philosophy of Mind","551
001","22","3.425","31.8","22.7","27.3","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"Mathematical Logic","571
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Seminar","582
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","Page 273 of 402",""
