"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"1st-Yr Seminar: Biological Sci","101
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
001","19","3.395","31.6","26.3","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","20","3.750","65.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Humanities","Course Total","39","3.577","48.7","23.1","23.1","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Literature","103
001","10","3.750","80.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","106
001","19","3.605","21.1","78.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","106
002","20","3.750","60.0","35.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","106
003","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Social Sci","Course Total","58","3.767","58.6","37.9","1.7","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Smr: Humanities&Soc Sci","110
001","18","3.412","38.9","16.7","22.2","16.7",".",".",".",".",".",".",".",".","5.6",".",".","."
"1st-Yr Smr: Soc Sci, Ethnic St","118
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ways of Knowing:Med&Society","152
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Interdis Smr: Diversity","180
001","42","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","15","3.879","73.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"","250
002","19","3.950","84.2","10.5",".",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"","250
003","18","3.947","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
004","17","3.944","88.2",".","5.9",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"","250
005","17","3.974","88.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"","250
006","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"","250
007","20","3.911","85.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"","250
008","14","3.903","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","16","3.818","37.5","25.0",".",".",".",".",".",".",".",".",".",".","6.3",".","31.3","."
"Undergrad Research Experience","Course Total","154","3.932","80.5","10.4","1.3",".",".",".",".",".",".",".",".",".","0.6",".","7.1","."
"Paradigms&Process-Acad Inquiry","315
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
400","19","4.000","89.5",".",".",".",".",".",".","5.3",".",".",".",".","5.3",".",".","."
"L&S Junior/Senior Seminar","Course Total","25","4.000","92.0",".",".",".",".",".",".","4.0",".",".",".",".","4.0",".",".","."
"Topics: Grad Stdts in Teaching","701
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
