"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","17","2.941","17.6","41.2","17.6","5.9",".","11.8","5.9",".",".",".",".",".",".",".",".","."
"","101
002","18","3.676","44.4","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"","101
003","19","3.667","68.4","10.5",".","10.5","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","101
004","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","21","3.452","38.1","28.6","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","20","3.632","35.0","50.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","101
008","21","3.250","14.3","42.9","28.6","4.8",".","4.8",".","4.8",".",".",".",".",".",".",".","."
"","101
009","19","3.526","36.8","31.6","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
011","22","3.619","40.9","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","4.5","."
"","101
012","17","3.367","17.6","35.3","29.4","5.9",".",".",".","11.8",".",".",".",".",".",".",".","."
"First Semester French","Course Total","190","3.503","38.9","33.7","16.8","4.2","0.5","1.6","0.5","2.6",".",".",".",".",".",".","1.1","."
"","102
001","14","3.538","42.9","21.4","21.4","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"","102
002","13","3.154","30.8","23.1","15.4","7.7","23.1",".",".",".",".",".",".",".",".",".",".","."
"","102
003","15","3.536","26.7","46.7","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","102
004","16","3.000","6.3","37.5","18.8","12.5","6.3","6.3",".","12.5",".",".",".",".",".",".",".","."
"","102
006","13","3.667","46.2","30.8","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","102
007","13","3.269","23.1","38.5","23.1",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","102
008","10","3.200","70.0",".","10.0",".",".","10.0","10.0",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","94","3.337","33.0","29.8","18.1","4.3","6.4","2.1","1.1","5.3",".",".",".",".",".",".",".","."
"","203
001","20","3.316","15.0","35.0","40.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"","203
002","15","3.333","33.3","26.7","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","203
003","21","3.275","4.8","52.4","28.6","9.5",".",".",".",".",".",".",".",".","4.8",".",".","."
"","203
004","23","3.196","17.4","34.8","30.4","13.0",".","4.3",".",".",".",".",".",".",".",".",".","."
"","203
006","14","3.179","7.1","42.9","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","203
008","18","3.250","11.1","38.9","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","203
009","20","3.575","30.0","55.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
010","21","3.425","28.6","33.3","23.8","9.5",".",".",".","4.8",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","152","3.322","18.4","40.1","28.9","8.6","1.3","0.7",".","0.7",".",".",".",".","1.3",".",".","."
"","204
001","23","3.286","13.0","34.8","39.1",".","4.3",".",".","8.7",".",".",".",".",".",".",".","."
"","204
002","20","3.675","35.0","65.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","10","3.000",".","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"","204
004","14","3.393","42.9","21.4","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","204
005","20","3.150","10.0","35.0","35.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","204
007","24","3.479","37.5","37.5","12.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","204
008","15","3.346","13.3","46.7","13.3","13.3",".",".",".","13.3",".",".",".",".",".",".",".","."
"","204
009","8","3.250","25.0","37.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","134","3.354","23.1","39.6","20.9","9.7","3.7",".",".","3.0",".",".",".",".",".",".",".","."
"","227
001","21","3.714","52.4","42.9",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","227
002","14","3.607","50.0","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","227
003","24","3.646","41.7","45.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
004","15","3.700","53.3","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","006
227","24","3.625","41.7","50.0","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Exploring French:Intermed Crse","Course Total","98","3.658","46.9","42.9","6.1","3.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"","228
001","19","3.467","26.3","42.1","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","5.3"
"","228
002","19","3.389","21.1","47.4","10.5","10.5","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","Page 210 of 402",""
