"BIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","","",""
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies","Course Total","","7","3.800","57.1",".","14.3",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"375","001","","23","3.220","17.4","30.4","34.8","4.3",".","4.3",".","4.3",".",".",".",".",".","4.3",".","."
"375","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"375","005","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","008","","223","3.930","96.0","0.9",".","1.3","0.4",".","0.9",".",".",".",".",".","0.4",".",".","."
"375","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","282","3.855","90.1","3.2","2.8","1.4","0.4","0.4","0.7","0.4",".",".",".",".","0.4","0.4",".","."
"399
Internship/Field Experience","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"675
Special Topics","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies","Course Total","","6","3.778","33.3","33.3",".",".",".",".",".",".",".",".",".",".","16.7",".","16.7","."
