"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","300
001","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","22","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","25","3.760","60.0","32.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","23","3.717","52.2","39.1","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","23","3.609","69.6","8.7","17.4",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","300
007","21","3.714","61.9","19.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","22","3.750","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","11","3.636","27.3","72.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","22","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
300","24","3.783","54.2","41.7",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","300
013","22","3.705","40.9","59.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
014","24","3.896","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
015","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
016","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
017","21","3.690","52.4","33.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
018","24","3.854","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
019","23","3.891","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
020","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","449","3.817","68.6","27.2","3.8",".",".",".","0.2",".",".",".",".",".","0.2",".",".","."
"","301
001","203","2.913","18.2","11.8","34.5","13.3","17.2","4.4",".","0.5",".",".",".",".",".",".",".","."
"","301
002","131","3.135","23.7","13.7","40.5","13.0","6.9","0.8","0.8",".",".",".",".",".","0.8",".",".","."
"Business Law","Course Total","334","3.000","20.4","12.6","36.8","13.2","13.2","3.0","0.3","0.3",".",".",".",".","0.3",".",".","."
"","302
001","42","3.512","38.1","33.3","16.7","9.5",".",".",".","2.4",".",".",".",".",".",".",".","."
"","302
002","42","3.451","33.3","33.3","21.4","7.1","2.4",".",".",".",".",".",".",".","2.4",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","84","3.482","35.7","33.3","19.0","8.3","1.2",".",".","1.2",".",".",".",".","1.2",".",".","."
"","303
001","118","3.214","31.4","13.6","39.0","3.4","10.2",".","1.7",".",".",".",".",".","0.8",".",".","."
"","010
303","76","2.733","7.9","6.6","43.4","9.2","30.3","1.3",".",".",".",".",".",".","1.3",".",".","."
"Business Statistics","Course Total","194","3.026","22.2","10.8","40.7","5.7","18.0","0.5","1.0",".",".",".",".",".","1.0",".",".","."
"","304
001","82","3.235","24.4","19.5","39.0","14.6",".",".","1.2",".",".",".",".",".",".","1.2",".","."
"","304
002","88","3.386","33.0","21.6","36.4","8.0","1.1",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","Course Total","170","3.314","28.8","20.6","37.6","11.2","0.6",".","0.6",".",".",".",".",".",".","0.6",".","."
"Bus Fund for Non-Bus Majors I","310
001","56","3.142","19.6","16.1","35.7","17.9","5.4",".",".","3.6",".",".",".",".","1.8",".",".","."
"Intercultural Communctn in Bus","320
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","49","3.052","38.8","8.2","26.5","6.1","8.2","4.1","6.1","2.0",".",".",".",".",".",".",".","."
"","365
003","18","3.722","55.6","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
007","22","3.690","63.6","13.6","13.6",".","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","114","3.581","52.6","16.7","16.7","3.5","4.4","1.8","2.6","1.8",".",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Exp Bus-Extended Intrnshp","451
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Envir Strategy & Sustainabilty","600
001","31","3.661","54.8","29.0","12.9",".","3.2",".",".",".",".",".",".",".",".",".",".","."
