"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"103","001","","141","3.058","19.9","27.7","18.4","16.3","11.3","2.1","1.4","1.4",".",".",".",".",".",".",".","1.4"
"103","002","","151","3.122","9.3","37.7","31.8","12.6","2.6","2.6","0.7","2.6",".",".",".",".",".",".",".","."
"The Evolving Universe","Course Total","","292","3.092","14.4","32.9","25.3","14.4","6.8","2.4","1.0","2.1",".",".",".",".",".",".",".","0.7"
"104
Exploration of Solar System","001","","113","2.891","18.6","13.3","29.2","18.6","10.6","5.3","1.8","1.8",".",".",".",".",".",".","0.9","."
"113","001","","16","2.563","12.5",".","37.5",".","43.8","6.3",".",".",".",".",".",".",".",".",".","."
"113","002","","6","3.333","66.7",".","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"113","003","","16","2.844","12.5","12.5","37.5","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"113","004","","6","2.917","16.7",".","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"113","005","","11","2.591",".","9.1","45.5","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"113","006","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hands on the Universe","Course Total","","63","2.865","19.0","7.9","38.1","9.5","19.0","6.3",".",".",".",".",".",".",".",".",".","."
"199
Directed Study","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"310
Stellar Astrophysics","001","","16","2.969","31.3","6.3","12.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"330
Galaxies","001","","11","3.250","27.3","27.3","18.2",".","18.2",".",".",".",".",".",".",".",".","9.1",".","."
"681
Senior Honors Thesis","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"692","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Basic Astrophysics I","001","","11","3.500","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"735
Observational Cosmology","001","","14","3.769","57.1","28.6","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","26","",".",".",".",".",".",".",".","73.1",".",".",".","26.9",".",".",".","."
