"Research","Course Total","15","",".",".",".",".",".","",".",".","93.3","",".",".",".","6.7",".",".",".","."
"","999
021","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","999
065","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","2","***","","","","","","","","","","","","","","","","","",""
"S&A PHM
732","Dept. Total","347","3.604","50.7","22.8","16.7","2.0","0.3","",".","0.6","4.0","",".",".",".","0.3","2.6",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","19","3.893","84.2","10.5","5.3",".",".","",".",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","3","4.000","100.0",".",".",".",".","",".",".",".","",".",".",".",".",".",".",".","."
"Junior","","7","3.950","85.7","14.3",".",".",".","",".",".",".","",".",".",".",".",".",".",".","."
"Senior","","4","4.000","100.0",".",".",".",".","",".",".",".","",".",".",".",".",".",".",".","."
"Undergraduates","","33","3.925","87.9","9.1","3.0",".",".","",".",".",".","",".",".",".",".",".",".",".","."
"Graduate","","36","4.000","38.9",".",".",".",".","",".",".","38.9","",".",".",".","2.8","19.4",".",".","."
"Prof Yr 1","","139","3.453","26.6","42.4","25.2","4.3","0.7","",".",".",".","",".",".",".",".","0.7",".",".","."
"Prof Yr 2","","5","3.714","80.0",".","20.0",".",".","",".",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 3","","134","3.704","68.7","12.7","15.7","0.7",".","",".","1.5",".","",".",".",".",".","0.7",".",".","."
"Professionals","","278","3.553","47.8","27.3","20.5","2.5","0.4","",".","0.7",".","",".",".",".",".","0.7",".",".","."
"","Dept. Total","347","3.604","50.7","22.8","16.7","2.0","0.3","",".","0.6","4.0","",".",".",".","0.3","2.6",".",".","."
