"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"599
Directed Study","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"691","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799
Directed Study","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"911
Seminar-Logic","001","","6","3.333",".","33.3","16.7",".",".",".",".",".",".",".",".",".","33.3","16.7",".","."
"916
Smr-Philos of Language","001","","8","2.667","25.0",".",".",".",".",".","12.5",".",".",".",".",".","62.5",".",".","."
"941
Seminar-Ethics","002","","8","3.667","12.5","25.0",".",".",".",".",".","12.5",".",".",".",".","50.0",".",".","."
"951
Seminar-Philosophy of Mind","001","","12","3.750","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","34","",".",".",".",".",".",".",".","91.2",".",".",".","8.8",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","5","***","","","","","","","","","","","","","","","",""
