"Summary by Level","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"SURGERY","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","",".",".",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","100.0","."
"Sophomore","6","3.821","50.0","16.7","16.7","",".",".","",".","",".",".","",".",".","",".","",".",".",".","16.7","."
"Junior","6","3.909","66.7","16.7",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","16.7","."
"Senior","17","3.974","94.1",".","5.9","",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","30","3.929","76.7","6.7","6.7","",".",".","",".","",".",".","",".",".","",".","",".",".",".","10.0","."
"Prof Yr 3","24","3.371","16.7","41.7","37.5","",".",".","",".","",".",".","",".",".","",".","",".","4.2",".",".","."
"Prof Yr 4","91","3.802","60.4","23.1","3.3","",".","1.1","",".","",".","12.1","",".",".","",".","",".",".",".",".","."
"Professionals","115","3.627","51.3","27.0","10.4","",".","0.9","",".","",".","9.6","",".",".","",".","",".","0.9",".",".","."
