"","LANG & CULTURES OF ASIA - LA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","",""
"First Semester Filipino","305","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hmong","307","001","","23","3.826","82.6","8.7","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"First Semester Indonesian","309","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Thai","317","001","","13","3.500","46.2","38.5","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"First Semester Vietnamese","319","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Arabic","","Course Total","","19","3.685","63.2","10.5","5.3","5.3","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"Third Semester Arabic","323","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","331","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","331","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Kazak","","Course Total","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Pashto","333","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Turkish","339","001","","13","3.808","84.6",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","353","001","","19","3.944","89.5",".","5.3",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"","353","002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hindi","","Course Total","","34","3.970","94.1",".","2.9",".",".",".",".",".",".",".",".",".",".",".","2.9","."
"First Semester Persian","363","001","","18","3.639","55.6","27.8","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"First Semester Modern Tibetan","369","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Urdu","371","001","","9","3.444","44.4","11.1","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Sanskrit","375","001","","7","3.571","71.4",".","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Filipino","405","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Hmong","407","001","","22","3.750","63.6","22.7","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Indonesian","409","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Thai","417","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Vietnamese","419","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Kazak","431","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Pashto","433","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Turkish","439","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","445","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","445","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Third Semester Hindi","453","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Persian","463","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Modern Tibetan","469","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Urdu","471","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Malayalam","473","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","","Page 243 of 402",""
