"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"160
Heredity","001","","92","3.100","32.6","15.2","22.8","6.5","16.3","2.2","2.2","1.1",".",".",".",".",".","1.1",".","."
"299","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","071","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","077","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","094","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","119","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","36","3.938","80.6",".","5.6",".",".",".",".",".",".",".",".",".","11.1",".","2.8","."
"375
Special Topics","011","","37","3.959","91.9","8.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","194","2.669","18.0","14.4","19.6","10.8","21.1","9.3","4.1","2.1",".",".",".",".",".",".","0.5","."
"545","001","","11","3.300","36.4",".","45.5",".","9.1",".",".",".",".",".",".",".","9.1",".",".","."
"545","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Genetics Laboratory","Course Total","","16","3.214","31.3",".","43.8",".","12.5",".",".",".",".",".",".",".","12.5",".",".","."
"565
Human Genetics","001","","51","3.137","19.6","21.6","35.3","13.7","9.8",".",".",".",".",".",".",".",".",".",".","."
"607
Advanced Microbial Genetics","001","","18","3.353","22.2","22.2","50.0",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"612
Prokaryotic Molecular Biol","001","","6","2.917",".","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"645
Modeling Pop Genetics&Evolutn","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"677","001","","12","3.227","8.3","41.7","33.3",".","8.3",".",".",".",".",".",".",".","8.3",".",".","."
"677","002","","25","3.380","36.0","28.0","20.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"677","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Topics in Genetics","Course Total","","38","3.382","28.9","31.6","23.7","5.3","7.9",".",".",".",".",".",".",".","2.6",".",".","."
"681","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"682
Senior Honors Thesis","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
