"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","4","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","7","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","13","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","2","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","38","3.371",".","68.4","23.7","",".","",".","",".","",".","",".","",".",".","",".","",".","2.6",".",".","5.3"
"Prof Yr 4","","38","3.900","84.2","13.2","2.6","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","","76","3.592","42.1","40.8","13.2","",".","",".","",".","",".","",".","",".",".","",".","",".","1.3",".",".","2.6"
