"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","170
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
003","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
004","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
007","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","71","3.958","91.5","8.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","66","3.008","22.7","25.8","21.2","15.2","7.6","3.0","4.5",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","72","2.854","18.1","9.7","44.4","2.8","16.7","5.6","2.8",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","50","3.190","24.0","24.0","28.0","18.0","4.0","2.0",".",".",".",".",".",".",".",".",".","."
"","252
001","40","3.150","22.5","32.5","20.0","7.5","15.0","2.5",".",".",".",".",".",".",".",".",".","."
"","252
003","72","3.257","19.4","27.8","45.8","4.2","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","112","3.219","20.5","29.5","36.6","5.4","6.3","0.9","0.9",".",".",".",".",".",".",".",".","."
"","270
001","11","3.545","54.5","18.2","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","002
270","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
270","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
005","15","3.200","46.7","20.0",".","6.7","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","56","3.643","69.6","12.5","7.1","1.8","7.1","1.8",".",".",".",".",".",".",".",".",".","."
"","271
002","15","3.893","80.0","6.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","271
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
005","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","49","3.938","89.8","4.1","4.1",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"","305
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
305","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","313
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","15","3.367","26.7","33.3","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","28","3.518","35.7","39.3","17.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","28","3.357","25.0","28.6","39.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Transmission Lines-Digitl Appl","321
001","31","3.484","45.2","25.8","16.1","6.5","6.5",".",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","61","2.492","21.3","4.9","21.3","9.8","21.3","11.5","8.2",".",".",".",".",".",".","1.6",".","."
"Intro-Random Sig Anal&Stats","331
001","30","2.800","13.3","23.3","23.3","23.3","3.3","10.0","3.3",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","36","2.843","22.2","16.7","11.1","19.4","22.2","2.8","2.8","2.8",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","28","3.214","10.7","46.4","21.4","17.9","3.6",".",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","64","3.117","23.4","20.3","31.3","6.3","18.8",".",".",".",".",".",".",".",".",".",".","."
