"JEWISH STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Judaism","211","001","","78","3.704","57.7","29.5","9.0",".",".",".","1.3","1.3",".",".",".",".","1.3",".",".","."
"The American Jewish Experience","219","001","","21","3.225","19.0","23.8","38.1","9.5","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"Intro to Biblical Lit","227","001","","22","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237","001","","7","3.286","28.6","28.6","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Germn-Jewsh Cltr Since 18c","510","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independnt Research for Majors","677","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
