"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","",""
"PHM","College Total","3026","3.472","44.7","19.8","20.3","6.2","4.0","0.5","0.2","1.9","",".","1.5",".","0.1","0.7",".","0.0","0.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"PHM","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","74","3.314","37.8","16.2","23.0","9.5","10.8","2.7",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","30","3.262","40.0","26.7","6.7","10.0","13.3",".","3.3",".","",".",".",".",".",".",".",".","."
"Junior","","130","3.571","55.4","11.5","26.9","3.8","2.3",".",".",".","",".",".",".",".",".",".",".","."
"Senior","","140","3.427","45.0","20.0","21.4","5.7","4.3",".","1.4","0.7","",".",".",".",".","1.4",".",".","."
"Undergraduates","","374","3.449","46.8","16.8","22.5","6.1","5.6","0.5","0.8","0.3","",".",".",".",".","0.5",".",".","."
"Special","","2","3.500","50.0",".","50.0",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Graduate","","190","3.922","35.8","2.6","1.6",".",".",".",".","30.0","",".","24.2",".","2.1","3.7",".",".","."
"Prof Yr 1","","548","3.224","37.0","22.6","24.1","7.7","6.9","0.5","0.2",".","",".",".",".",".","0.7",".",".","0.2"
"Prof Yr 2","","808","3.308","39.5","19.4","25.0","8.0","6.3","1.4","0.1",".","",".",".",".",".","0.2",".",".","."
"Prof Yr 3","","973","3.502","40.3","21.6","18.2","5.2","0.8",".","0.2",".","",".",".",".","13.5","0.1",".","0.1","."
"Prof Yr 4","","263","3.808","73.8","15.2","6.1","2.3","0.8",".",".",".","",".",".",".",".","1.5",".","0.4","."
"Professionals","","2592","3.468","42.7","20.5","20.3","6.3","3.8","0.5","0.2",".","",".",".",".","5.1","0.4",".","0.1","0.0"
"","College Total","3158","3.472","42.8","19.0","19.5","5.9","3.8","0.5","0.2","1.8","",".","1.5",".","4.3","0.6",".","0.1","0.0"
