"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"SURG SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","",".",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".","100.0","."
"Junior","3","3.333",".","66.7","33.3",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","7","2.714",".","28.6",".","57.1","14.3","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","11","2.900",".","36.4","9.1","36.4","9.1","",".","",".",".","",".",".","",".","",".","",".",".","9.1","."
"Special","3","3.714","33.3","66.7",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","30","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","81","3.765","64.2","27.2","7.4",".","1.2","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","310","3.434","22.9","12.9","11.6","1.9","1.6","",".","",".","49.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","304","4.000","30.9",".",".",".",".","",".","",".","61.5","",".",".","",".","",".","",".",".","7.6","."
"Professionals","695","3.612","31.2","8.9","6.0","0.9","0.9","",".","",".","48.8","",".",".","",".","",".","",".",".","3.3","."
