"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","101
001","20","3.075","35.0","20.0","15.0","5.0","20.0",".","5.0",".",".",".",".",".",".",".",".","."
"","101
002","19","2.947","21.1",".","47.4","10.5","21.1",".",".",".",".",".",".",".",".",".",".","."
"","101
003","20","3.000","20.0","15.0","30.0","15.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".","."
"","101
004","23","3.065","34.8","13.0","21.7","8.7","17.4",".","4.3",".",".",".",".",".",".",".",".","."
"","101
005","24","3.043","25.0","16.7","29.2","8.3","12.5",".","4.2","4.2",".",".",".",".",".",".",".","."
"","101
006","23","3.196","39.1","13.0","17.4","8.7","21.7",".",".",".",".",".",".",".",".",".",".","."
"","101
007","24","3.000","25.0","29.2","16.7","4.2","16.7","4.2","4.2",".",".",".",".",".",".",".",".","."
"","101
008","24","2.932","16.7","16.7","37.5","4.2","8.3","4.2","4.2","8.3",".",".",".",".",".",".",".","."
"","101
009","22","3.452","36.4","22.7","31.8",".","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"","101
010","19","3.263","31.6","15.8","42.1","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","101
011","20","3.000","20.0","25.0","25.0","5.0","15.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"","101
012","20","3.025","35.0","10.0","25.0","5.0","20.0",".","5.0",".",".",".",".",".",".",".",".","."
"","101
013","16","2.893","18.8","18.8","12.5",".","37.5",".",".","12.5",".",".",".",".",".",".",".","."
"First Year Spanish","Course Total","274","3.073","27.7","16.8","27.0","6.2","15.3","1.5","2.6","2.6",".",".",".",".","0.4",".",".","."
"","102
001","18","3.139","16.7","27.8","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","002
102","21","3.048","14.3","14.3","52.4","4.8","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
003","20","3.132","25.0","15.0","40.0",".","10.0","5.0",".",".",".",".",".",".","5.0",".",".","."
"","102
004","22","3.068","18.2","31.8","40.9",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","102
005","19","3.474","36.8","21.1","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","20","2.921","5.0","15.0","55.0",".","20.0",".",".","5.0",".",".",".",".",".",".",".","."
"","102
007","19","2.474","5.3","15.8","10.5","26.3","36.8",".","5.3",".",".",".",".",".",".",".",".","."
"","102
008","23","3.283","21.7","26.1","39.1","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","20","2.842","20.0","10.0","40.0",".","15.0","5.0","5.0","5.0",".",".",".",".",".",".",".","."
"","102
010","24","3.354","33.3","20.8","29.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","20","3.225","35.0","15.0","35.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","102
012","17","3.324","29.4","35.3","17.6","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","102
013","24","3.479","29.2","45.8","20.8",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","102
014","19","3.211","10.5","42.1","36.8",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","102
015","20","3.550","55.0","15.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","102
016","22","3.136","18.2","22.7","36.4","13.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
017","12","3.000","8.3","41.7","25.0","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"First Year Spanish","Course Total","340","3.168","22.9","24.1","34.1","6.8","8.8","0.9","1.5","0.6",".",".",".",".","0.3",".",".","."
"","203
001","19","3.447","42.1","26.3","21.1",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","203
002","23","3.217","26.1","17.4","39.1","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","203
003","19","3.368","21.1","42.1","31.6",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","004
203","24","3.261","29.2","16.7","37.5",".","12.5",".",".",".",".",".",".",".","4.2",".",".","."
"","203
005","22","3.250","13.6","45.5","27.3","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","203
006","23","3.348","26.1","43.5","17.4",".","13.0",".",".",".",".",".",".",".",".",".",".","."
"","203
007","23","3.478","30.4","34.8","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
008","23","3.283","21.7","26.1","43.5","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","203
009","23","2.935","8.7","17.4","47.8","4.3","21.7",".",".",".",".",".",".",".",".",".",".","."
"","203
010","23","2.935","13.0","17.4","47.8","4.3","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"","203
011","23","3.109","13.0","34.8","26.1","13.0","13.0",".",".",".",".",".",".",".",".",".",".","."
"","203
012","23","3.283","30.4","21.7","30.4","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","203
013","23","3.413","52.2","4.3","26.1","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","203
014","23","3.109","26.1","21.7","26.1","8.7","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","Page 307 of 402",""
