"Special Topics","Course Total","26","3.778","23.1","7.7","3.8",".","",".","",".",".",".","",".",".","",".","",".","65.4",".",".","."
"CALS Honor Interdis Jr Seminar","388
001","9","4.000","100.0",".",".",".","",".",".","",".",".",".","",".",".","",".","",".",".",".","."
"Honors Research Colloquium","488
001","9","",".",".",".",".","",".",".","",".",".",".","","100.0",".","",".","",".",".",".","."
"Special Topics","875
001","4","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"INTER-AG
494","Dept. Total","280","3.942","84.3","3.6","1.1","0.4","",".","",".","0.4","0.7","",".","3.2","",".","",".","6.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","149","3.932","91.9","4.7","0.7","0.7","",".","",".","0.7","0.7","",".",".","",".","",".","0.7",".",".","."
"Sophomore","","52","3.991","94.2","1.9",".",".","",".","",".",".","1.9","",".",".","",".","",".","1.9",".",".","."
"Junior","","24","3.815","75.0","8.3","8.3",".","",".","",".",".",".","",".",".","",".","",".","8.3",".",".","."
"Senior","","50","4.000","54.0",".",".",".","",".","",".",".",".","",".","18.0","",".","",".","28.0",".",".","."
"Undergraduates","","275","3.940","84.0","3.6","1.1","0.4","",".","",".","0.4","0.7","",".","3.3","",".","",".","6.5",".",".","."
"Special","","2","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","3","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","280","3.942","84.3","3.6","1.1","0.4","",".","",".","0.4","0.7","",".","3.2","",".","",".","6.4",".",".","."
