"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","81","3.272","13.6","46.9","24.7","12.3","1.2","1.2",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures I","153","001","","24","3.295","20.8","20.8","41.7","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"Fabric & Apparel Structures II","154","001","","14","3.714","64.3","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221","001","","63","2.905","20.6","20.6","12.7","27.0","11.1","7.9",".",".",".",".",".",".",".",".",".","."
"Interior Architect Design","223","001","","30","3.117","20.0","20.0","36.7","10.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229","001","","14","3.692","64.3",".","28.6",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Patternmaking-Apparel Design","253","001","","14","3.500","42.9","28.6","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Design: Sketching&Rendering","320","001","","15","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design II","322","001","","32","3.484","31.3","37.5","28.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323","001","","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Manual/Comptr Gen Imagery","327","001","","16","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Perspctv-Design&Culture","360","001","","11","3.136","18.2","18.2","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Am Dec Arts & Int: 1620-1840","363","001","","19","2.839","5.3","26.3","36.8","15.8","5.3","10.5",".",".",".",".",".",".",".",".",".","."
"European Interiors to 18 C","421","001","","27","3.173","14.8","33.3","25.9","14.8","7.4",".",".",".",".",".",".",".","3.7",".",".","."
"Color Theory and Technology","451","001","","19","3.471","42.1","21.1","10.5","10.5","5.3",".",".",".",".",".",".",".","10.5",".",".","."
"Dimensions of Material Culture","464","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","001","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","501","005","","12","3.909","83.3",".","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","501","007","","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","008","","15","3.833","86.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","501","009","","27","4.000","96.3",".",".",".",".",".",".",".",".",".",".",".",".",".","3.7","."
"","501","020","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","021","","13","3.792","76.9",".","7.7","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"","501","022","","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","106","3.784","77.4","9.4","6.6","3.8",".",".",".",".",".",".",".",".","1.9",".","0.9","."
"Textile:Spec & End Use Anal","561","001","","21","3.571","52.4","14.3","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","601","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","","7","3.467","57.1",".","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Interior Design IV","623","001","","23","3.409","21.7","34.8","39.1",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Portfolio Preparation","624","001","","22","3.833","63.6","31.8",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Adv Interior&Arch Dsgn Visualz","633","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Taste","642","001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Comparative World Dress","655","001","","18","2.941","27.8","5.6","27.8","5.6","22.2","5.6",".",".",".",".",".",".","5.6",".",".","."
"Senior Thesis","691","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
