"","990
083","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
084","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
087","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","72","",".",".",".",".",".",".","",".","87.5","",".",".",".","12.5",".",".",".","."
"NEUROSCI
682","Dept. Total","471","3.667","47.1","8.9","7.6","1.9","2.3","0.2","",".","25.7","",".","2.8",".","3.0","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","11","3.964","90.9",".","9.1",".",".",".","",".",".","",".",".",".",".",".",".",".","."
"Junior","","64","3.679","68.8","17.2","4.7","1.6","4.7","1.6","",".",".","",".",".",".",".","1.6",".",".","."
"Senior","","176","3.684","67.6","14.2","9.1","2.8","2.8",".","",".","0.6","",".",".",".","2.8",".",".",".","."
"Undergraduates","","252","3.696","69.0","14.3","7.9","2.4","3.2","0.4","",".","0.4","",".",".",".","2.0","0.4",".",".","."
"Special","","7","3.167","57.1",".","14.3",".","28.6",".","",".",".","",".",".",".",".",".",".",".","."
"Graduate","","191","3.620","20.9","3.1","4.2","1.6","0.5",".","",".","58.1","",".","6.3",".","4.7","0.5",".",".","."
"Prof Yr 1","","3","4.000","66.7",".",".",".",".",".","",".","33.3","",".",".",".",".",".",".",".","."
"Prof Yr 2","","3","3.000",".",".","33.3",".",".",".","",".","33.3","",".","33.3",".",".",".",".",".","."
"Prof Yr 3","","10","3.556","20.0",".","40.0",".",".",".","",".","40.0","",".",".",".",".",".",".",".","."
"Prof Yr 4","","5","3.000",".",".","40.0",".",".",".","",".","60.0","",".",".",".",".",".",".",".","."
"Professionals","","21","3.563","19.0",".","33.3",".",".",".","",".","42.9","",".","4.8",".",".",".",".",".","."
"","Dept. Total","471","3.667","47.1","8.9","7.6","1.9","2.3","0.2","",".","25.7","",".","2.8",".","3.0","0.4",".",".","."
