"HEBREW (HEBREW AND SEMITI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","",""
"","101
001","22","3.682","72.7","9.1","13.6",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","101
002","14","3.607","50.0","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","21","3.750","57.1","33.3",".","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"","101
004","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hebrew","Course Total","68","3.724","66.2","19.1","8.8","2.9",".","1.5",".","1.5",".",".",".",".",".",".",".","."
"Elementary Biblical Hebrew, I","103
001","10","3.550","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Hebrew","Course Total","24","3.854","75.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Judaism","211
001","24","3.500","62.5","8.3","4.2","8.3","4.2",".","4.2","8.3",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","217
001","16","3.321","50.0","6.3","18.8",".","6.3",".","6.3","6.3",".",".",".",".","6.3",".",".","."
"Biblical Poetry in Translation","237
001","6","3.000","16.7","33.3","16.7",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","301
001","7","3.800","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","28.6"
"Elementary Biblical Hebrew, I","303
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Biblical Hebrew I","323
001","7","3.357","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","401
001","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Texts, Poetry","513
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533
001","17","3.706","64.7","23.5","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Canaanite Dialects","604
001","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"The Book of Isaiah","651
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Early Biblicl Interpretatn","956
001","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"HEBR ST
440","Dept. Total","228","3.627","56.1","19.3","12.7","1.8","2.6","0.4","0.9","2.6",".",".",".","1.8","0.9",".",".","0.9"
