"BUS","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","183","2.746","15.3","7.7","39.9","8.2","22.4","1.6","4.9",".",".",".",".",".",".",".",".","."
"","300
002","191","2.945","19.9","7.3","48.7","5.8","11.5","4.2","2.1",".",".",".",".",".","0.5",".",".","."
"","300
010","135","2.836","23.7","8.1","33.3","6.7","18.5","4.4","4.4",".",".",".",".",".",".","0.7",".","."
"Organizational Behavior","Course Total","509","2.844","19.3","7.7","41.5","6.9","17.3","3.3","3.7",".",".",".",".",".","0.2","0.2",".","."
"","305
001","58","3.167","22.4","25.9","27.6","6.9","15.5",".",".",".",".",".",".",".","1.7",".",".","."
"","305
002","40","2.650","7.5","10.0","30.0","25.0","22.5","2.5","2.5",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","98","2.954","16.3","19.4","28.6","14.3","18.4","1.0","1.0",".",".",".",".",".","1.0",".",".","."
"","365
001","48","3.576","27.1","56.3","12.5",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","365
002","38","3.461","34.2","31.6","28.9","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","365
003","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","93","3.544","32.3","45.2","18.3","1.1","1.1",".",".",".",".",".",".",".","2.2",".",".","."
"","399
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","401
001","37","3.446","13.5","62.2","24.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","40","3.413","30.0","30.0","35.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"","422
002","41","3.585","43.9","29.3","26.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","Course Total","81","3.500","37.0","29.6","30.9","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","423
001","42","3.726","52.4","42.9","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","20","3.600","50.0","35.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","26","3.865","76.9","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","628
001","32","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","26","3.680","42.3","46.2","7.7",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Strategic Mgmt-Life & Engr Sci","715
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","21","3.738","47.6","52.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","58","3.612","27.6","67.2","5.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","58","3.560","15.5","81.0","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
030","64","3.805","64.1","32.8","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","180","3.664","36.7","59.4","3.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728
002","28","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","734
001","14","3.643","57.1","28.6","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"WAVE Practicum I","737
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Arts Administration","773
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research and Thesis","790
204","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
204","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","3","***","","","","","","","","","","","","","","","",""
"Rsch Meth-Management I","835
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Org Behavior & Design","872
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Emerging Entrepreneurship","977
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
062","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
088","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
129","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","Page 58 of 402"
