"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","","","",""
"","300
001","118","3.013","15.3","25.4","29.7","12.7","12.7","2.5","0.8",".",".",".",".","",".","",".","0.8",".","."
"","300
002","124","3.041","13.7","24.2","33.1","16.1","10.5","1.6",".",".",".",".",".","",".","","0.8",".",".","."
"","300
003","111","3.145","16.2","29.7","32.4","9.9","9.9","0.9",".",".","0.9",".",".","",".","",".",".",".","."
"Operations Management","Course Total","353","3.064","15.0","26.3","31.7","13.0","11.0","1.7","0.3",".","0.3",".","",".","",".","0.3","0.3",".","."
"","365
001","6","2.833","33.3",".","16.7","33.3",".","16.7",".",".",".",".",".","",".","",".",".",".","."
"","365
002","21","3.525","14.3","71.4","9.5",".",".",".",".",".",".",".",".","",".","","4.8",".",".","."
"","365
003","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Contemporary Topics","Course Total","28","3.370","17.9","57.1","10.7","7.1",".","3.6",".",".",".",".","",".","",".","3.6",".",".","."
"Operations Research I","410
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","11","3.350","18.2","45.5","9.1","18.2",".",".",".","9.1",".",".",".","",".","",".",".",".","."
"Logistics Management","422
001","6","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Economics of Transportation","444
001","2","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Business Logistics Analysis","640
001","19","3.694","52.6","26.3","15.8",".",".",".",".","5.3",".",".",".","",".","",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671
001","2","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Operations Research I","710
001","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Logistics Management","722
001","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Economics for Managers","732
001","31","3.581","48.4","25.8","22.6",".","3.2",".",".",".",".",".",".","",".","",".",".",".","."
"Manage Tech & Organztnl Change","758
001","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"","765
001","3","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","765
002","3","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","765
003","5","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","765
004","58","3.868","81.0","8.6","8.6",".",".",".",".",".",".",".",".","",".","","1.7",".",".","."
"Contemporary Topics","Course Total","69","3.831","75.4","13.0","10.1",".",".",".",".",".",".",".","",".","",".","1.4",".",".","."
"Qual & Productivity Improvemnt","770
001","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"","999
037","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
139","2","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Read&Rsch-Oper&Info Mgt PhD","Course Total","3","***","","","","","","","","","","","","","","","","","",""
"OTM
238","Dept. Total","586","3.308","29.9","28.0","23.9","8.5","6.8","1.2","0.2","0.7","0.2",".","",".","",".","0.5","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","20","3.100","20.0","20.0","30.0","20.0","10.0",".",".",".",".",".","",".","",".",".",".",".","."
"Junior","","197","3.074","14.2","28.9","29.9","14.2","11.2","1.5",".",".",".",".","",".","",".",".",".",".","."
"Senior","","185","3.178","17.3","32.4","29.7","9.7","5.4","2.2","0.5","0.5","0.5",".","",".","",".","1.1","0.5",".","."
"Undergraduates","","402","3.122","15.9","30.1","29.9","12.4","8.5","1.7","0.2","0.2","0.2",".","",".","",".","0.5","0.2",".","."
"Special","","10","2.800","20.0","20.0","10.0",".","50.0",".",".",".",".",".","",".","",".",".",".",".","."
"Graduate","","173","3.756","62.4","23.7","11.0",".","0.6",".",".","1.7",".",".","",".","",".","0.6",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","586","3.308","29.9","28.0","23.9","8.5","6.8","1.2","0.2","0.7","0.2",".","",".","",".","0.5","0.2",".","."
