"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","","","","",""
"","890
002","","5","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","890
021","","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Individual Research Thesis","Course Total","","6","",".",".",".",".",".",".","",".","83.3","",".",".",".","16.7","",".",".",".","."
"GREEK
428","Dept. Total","","90","3.639","60.0","15.6","10.0","3.3","2.2","1.1","",".","6.7","",".",".",".","1.1","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","9","3.500","55.6","11.1","22.2",".","11.1",".","",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","","8","3.517","50.0","25.0",".","25.0",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Junior","","","10","3.417","40.0","30.0","20.0",".","10.0",".","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","","31","3.640","67.7","12.9","12.9","3.2",".","3.2","",".",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","","58","3.560","58.6","17.2","13.8","5.2","3.4","1.7","",".",".","",".",".",".",".","",".",".",".","."
"Special","","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","","31","3.868","61.3","12.9","3.2",".",".",".","",".","19.4","",".",".",".","3.2","",".",".",".","."
"","Dept. Total","","90","3.639","60.0","15.6","10.0","3.3","2.2","1.1","",".","6.7","",".",".",".","1.1","",".",".",".","."
