"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"English Lang Variation in U.S.","331","001","","29","3.125","13.8","24.1","48.3","6.9",".",".","3.4","3.4",".",".",".",".",".",".",".","."
"Second Language Acquisition","333","001","","45","3.611","37.8","48.9","11.1","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","334","001","","23","3.841","69.6","21.7","4.3",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Techniques&Materials for TESOL","335","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"English in Society","336","001","","35","3.443","34.3","37.1","14.3","11.4","2.9",".",".",".",".",".",".",".",".",".",".","."
"Topics-English Lang & Linguis","338","001","","29","3.315","10.3","48.3","27.6","3.4","3.4",".",".",".",".",".",".",".","6.9",".",".","."
"Gender and Language","341","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Figures of Medieval Eng Lit","361","001","","25","3.396","28.0","32.0","24.0","12.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"A Theme-Medieval Eng Lit","362","001","","33","3.167","15.2","33.3","30.3","12.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","367","001","","29","3.232","27.6","31.0","20.7","6.9","6.9",".","3.4",".",".",".",".",".","3.4",".",".","."
"Soph Honors: Rsch Meth-English","381","001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Shakespeare","417","001","","31","3.733","61.3","19.4","16.1",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"","425","001","","35","3.470","25.7","45.7","14.3","8.6",".",".",".",".",".",".",".",".","5.7",".",".","."
"","425","002","","11","3.350","27.3","27.3","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","9.1"
"Outstnd Figures-17c Eng Lit","","Course Total","","46","3.442","26.1","41.3","17.4","6.5","2.2",".",".",".",".",".",".",".","4.3",".",".","2.2"
"Theme in 17c Eng Lit","426","001","","35","3.426","31.4","25.7","37.1",".","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"Theme in 18th C Eng Lit","442","001","","31","3.483","29.0","35.5","32.3",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"Jr Honors Seminar in Major","481","001","","13","3.792","53.8","38.5",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Figures of Contemp Eng Lit","500","001","","29","3.121","24.1","20.7","27.6","10.3","17.2",".",".",".",".",".",".",".",".",".",".","."
"James Joyce","503","001","","32","2.967","25.0","25.0","18.8","6.3","6.3","6.3","6.3","3.1",".",".",".",".",".",".",".","3.1"
"Theme in 20th C Eng Lit","504","001","","30","3.400","16.7","50.0","30.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"The Scottish Tradition","518","001","","24","3.250","20.8","33.3","29.2","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Survey: Theories of Drama","520","001","","13","3.667","46.2","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","7.7","."
"Brit Drama, 1914 to Present","538","001","","13","3.423","15.4","61.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in Criticism","550","001","","23","3.413","30.4","30.4","34.8",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Studies in Narrative Lit","563","001","","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fem Thry&Women Writng-English","574","001","","17","3.500","35.3","35.3","11.8","11.8",".",".",".",".",".",".",".",".","5.9",".",".","."
"Asian Amer Women Writers","595","001","","15","3.500","26.7","40.0","26.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","626","001","","32","3.283","31.3","21.9","25.0","12.5",".",".","3.1","3.1",".",".",".",".","3.1",".",".","."
"","626","002","","28","3.365","25.0","39.3","25.0",".",".",".","3.6","3.6",".",".",".",".","3.6",".",".","."
"Theme in 19th C Amer Lit","","Course Total","","60","3.321","28.3","30.0","25.0","6.7",".",".","3.3","3.3",".",".",".",".","3.3",".",".","."
"Theme in 20th C Amer Lit","630","001","","24","3.458","33.3","25.0","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Figures of Contemp Amer Lit","631","001","","34","3.500","29.4","44.1","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","2.9"
"Maj Amer Novelists-1914-45","635","001","","33","3.394","36.4","24.2","24.2","12.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Contemp Am Ind Lit Since 1953","650","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672","002","","20","3.139","25.0","10.0","45.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","10.0"
"","681","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
