"INFORMATION SYSTEMS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","",""
"","365
001","","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","12","3.458","33.3","41.7","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Tech:Computer-Based Bus Sys","371
001","","11","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Computer-Based Data Mgt","422
002","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anal&Dsgn:Comptr-Based Sys","424
001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer-Based Data Mgt","722
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Anal&Dsgn:Comptr-Based Sys","724
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
003","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
