"Summary by Level","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"MED PHYS","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","2","4.000","100.0",".",".","",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","7","3.382","57.1","14.3","14.3","",".","14.3","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","9","3.475","66.7","11.1","11.1","",".","11.1","",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","4","3.250",".","25.0","25.0","",".",".","",".","",".","25.0","",".",".","",".","25.0",".",".",".","."
"Graduate","247","3.698","36.4","19.4","7.3","",".",".","",".","",".","21.1","",".",".","",".","14.6","0.8",".","0.4","."
"Prof Yr 3","3","4.000","33.3",".",".","",".",".","",".","",".","33.3","",".",".","",".","33.3",".",".",".","."
"Prof Yr 4","1","",".",".",".","",".",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Professionals","4","4.000","25.0",".",".","",".",".","",".","",".","50.0","",".",".","",".","25.0",".",".",".","."
