"THEATRE AND DRAMA","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","","",""
"Fundamentals of Directing","368","001","","11","3.900","72.7","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Drafting for the Theatre","370","001","","7","3.688","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"Sound for Theatre","371","001","","9","3.621","55.6","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Set Design I","372","001","","11","3.409","36.4","27.3","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Stage Management","379","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Theatres&Staging","431","001","","8","3.563","75.0",".",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Thtr-Yng Audiences:Productn","462","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Properties","471","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey: Theories of Drama","520","001","","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre-Europe:1850-Present","522","001","","18","3.639","38.9","50.0","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Brit Drama, 1914 to Present","538","001","","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory III","561","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Costume Design II","563","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Stagecraft","570","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","619","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619","002","","14","3.500","21.4","50.0","21.4",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","619","003","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","619","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","619","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","619","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","","Course Total","","51","3.797","66.7","21.6","9.8",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"Senior Honors Thesis","681","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem: Intro Rsch-Theatre","700","001","","18","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Voice Training","740","001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Stage Movement","742","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Acting","750","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","911","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","911","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Probs in Theatre&Drama","","Course Total","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
