"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"","101
001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","32","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","102
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Class Piano","103
001","","12","3.458","25.0","41.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Class Piano","104
001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals: Single Reeds","14
001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Performance: Voice","143
001","","13","3.692","92.3",".",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","144
101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","144
102","","8","3.808","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","144
103","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","15","3.792","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
251","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","200
252","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","200
253","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","200
254","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Elem/Intmed Organ","203
042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
006","","6","3.929","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
045","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
061","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
062","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","205
101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","32","3.942","84.4","6.3","3.1",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Elem/Intmed Flute","207
010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Oboe","209
059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Clarinet","211
005","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Element/Intermed Saxophone","213
050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Bassoon","215
032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Horn","217
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Trumpet","219
063","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Trombone","221
089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Euphonium","223
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Tuba","225
035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Percussion","227
033","","8","3.900","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","231
009","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","231
025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","231
083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermediate Violin","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
