"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","258","3.050","7.4","28.7","40.7","14.7","7.8","0.8",".",".",".",".",".",".",".",".",".","."
"","300
002","252","2.986","7.9","20.6","43.3","18.7","7.5","0.8","0.4","0.8",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","510","3.019","7.6","24.7","42.0","16.7","7.6","0.8","0.2","0.4",".",".",".",".",".",".",".","."
"","305
001","53","3.283","20.8","30.2","37.7","7.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"","305
002","54","3.343","16.7","40.7","37.0","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","107","3.313","18.7","35.5","37.4","6.5","1.9",".",".",".",".",".",".",".",".",".",".","."
"","310
001","58","3.319","25.9","25.9","36.2","10.3","1.7",".",".",".",".",".",".",".",".",".",".","."
"","310
002","55","3.309","29.1","30.9","18.2","16.4","5.5",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","113","3.314","27.4","28.3","27.4","13.3","3.5",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","53","3.875","79.2","13.2","5.7",".",".",".",".","1.9",".",".",".",".",".",".",".","."
"","399
118","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
144","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
160","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","5","***","","","","","","","","","","","","","","","",""
"Fundamentls-Supply Chain Mgmt","421
001","28","3.696","57.1","28.6","10.7","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","422
001","27","3.288","33.3","14.8","25.9","18.5","3.7",".",".",".",".",".",".",".","3.7",".",".","."
"Procurement & Supply Managemnt","423
001","32","3.797","65.6","28.1","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
001","28","3.339","35.7","25.0","14.3","21.4","3.6",".",".",".",".",".",".",".",".",".",".","."
"","425
002","40","3.325","20.0","40.0","27.5","10.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","68","3.331","26.5","33.8","22.1","14.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"","440
001","49","3.714","44.9","53.1","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
002","53","3.689","39.6","58.5","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Emerging Iss-New Product Devel","Course Total","102","3.701","42.2","55.9","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","29","3.569","55.2","20.7","10.3","10.3","3.4",".",".",".",".",".",".",".",".",".",".","."
"","460
002","21","3.167","14.3","33.3","23.8","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","50","3.400","38.0","26.0","16.0","18.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","635
001","52","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","18","3.194","22.2","16.7","38.9","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","21","2.925","14.3","14.3","33.3","9.5","23.8",".",".","4.8",".",".",".",".",".",".",".","."
"Retail Management","Course Total","39","3.053","17.9","15.4","35.9","15.4","12.8",".",".","2.6",".",".",".",".",".",".",".","."
"","700
001","58","3.474","29.3","36.2","34.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","60","3.458","23.3","45.0","31.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","64","3.461","23.4","45.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","182","3.464","25.3","42.3","32.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","705
001","42","3.595","26.2","66.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","24","3.542","37.5","33.3","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","19","3.632","36.8","52.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","34","3.500","35.3","26.5","35.3",".",".",".",".",".",".",".",".",".",".","2.9",".","."
"Seminar-Supply Chain Managemnt","726
001","28","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Brand Strategy","735
001","33","3.766","63.6","21.2","12.1",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"","765
001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","14","3.646","35.7","50.0","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","003
765","48","3.565","56.3","14.6","14.6","2.1","8.3",".",".",".",".",".",".",".","4.2",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","Page 60 of 402"
