"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"630
Latin-American Politics","001","","43","3.134","20.9","23.3","34.9","7.0","4.7","2.3","2.3",".",".",".",".",".","2.3",".","2.3","."
"642
Politcl Power-Contemp China","001","","79","3.000","22.8","15.2","30.4","12.7","13.9","1.3","2.5","1.3",".",".",".",".",".",".",".","."
"681","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"682
Senior Honors Thesis","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"683
Senior Honors Thesis Smr","001","","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"685","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"685","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"685","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Research Internship","Course Total","","3","***","","","","","","","","","","","","","","","",""
"691","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","6","",".",".",".",".",".",".",".",".",".",".",".","66.7","16.7",".","16.7","."
"695","001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","002","","12","3.450","41.7","25.0","8.3",".",".","8.3",".","8.3",".",".",".",".","8.3",".",".","."
"Prosem: Topics in Poli Sci","Course Total","","27","3.720","63.0","22.2","3.7",".",".","3.7",".","3.7",".",".",".",".","3.7",".",".","."
"698","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"698","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"698","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","3.948","66.7","13.3",".",".",".",".",".",".",".",".",".",".","6.7","6.7","6.7","."
"800
Poli Sci-Discipline&Profession","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"814
Social Identities: Def&Measure","001","","11","3.786","36.4","27.3",".",".",".",".",".","9.1",".",".",".",".","18.2","9.1",".","."
"816
Empir Method Pol Inquiry: Qual","001","","10","3.813","50.0","30.0",".",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"817
Empir Method Pol Inquiry:Quant","001","","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","Page 281 of 402",""
