"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","323","2.528","18.9","8.0","21.7","9.3","22.9","14.2","4.6",".",".",".",".",".",".","0.3",".","."
"","002
101","293","2.429","9.6","8.9","29.0","8.2","25.9","10.9","6.1",".",".",".",".",".","0.3","0.7",".","0.3"
"Animal Biology","Course Total","616","2.481","14.4","8.4","25.2","8.8","24.4","12.7","5.4",".",".",".",".",".","0.2","0.5",".","0.2"
"","102
001","18","2.944","5.6","27.8","44.4","5.6","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","102
002","22","3.250","27.3","22.7","36.4","9.1",".","4.5",".",".",".",".",".",".",".",".",".","."
"","102
003","19","3.421","26.3","42.1","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","19","3.316","26.3","31.6","36.8",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","102
005","18","3.417","38.9","22.2","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","102
006","18","3.111","5.6","33.3","38.9","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","19","3.368","15.8","47.4","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","18","3.222","33.3","16.7","27.8","5.6","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
009","21","3.333","23.8","23.8","47.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","16","3.219","12.5","43.8","37.5",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","102
011","17","3.294","29.4","29.4","23.5","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","102
012","17","3.147","17.6","23.5","29.4","29.4",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","21","3.262","23.8","47.6","14.3","4.8","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","102
014","13","3.154","23.1","38.5","23.1","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"","102
015","13","3.038",".","30.8","53.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","102
016","18","3.361","27.8","38.9","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","102
017","19","3.395","21.1","36.8","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","15","3.133","6.7","33.3","46.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
019","12","2.833","8.3","8.3","41.7","25.0","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
020","15","2.933","6.7","26.7","33.3","13.3","20.0",".",".",".",".",".",".",".",".",".",".","."
"","102
021","16","3.594","56.3","12.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","364","3.240","21.4","30.8","32.7","9.1","4.4","1.1","0.5",".",".",".",".",".",".",".",".","."
"","151
001","184","2.727","9.2","6.5","47.8","9.8","18.5","6.5","1.1",".",".",".",".",".",".",".",".","0.5"
"","151
002","177","2.655","6.8","8.5","44.1","7.3","25.4","7.3","0.6",".",".",".",".",".",".",".",".","."
"","151
003","98","2.742","8.2","12.2","38.8","12.2","21.4","6.1",".",".",".",".",".",".","1.0",".",".","."
"Introductory Biology","Course Total","459","2.702","8.1","8.5","44.4","9.4","21.8","6.8","0.7",".",".",".",".",".","0.2",".",".","0.2"
"Introductory Biology","152
001","152","2.841","15.1","9.2","44.1","4.6","18.4","3.3","2.6",".",".",".",".",".","2.6",".",".","."
"","153
001","32","2.609","15.6","9.4","31.3","12.5","12.5","15.6","3.1",".",".",".",".",".",".",".",".","."
"","153
002","42","2.793","16.7","7.1","33.3","14.3","19.0","7.1",".",".",".",".",".",".","2.4",".",".","."
"","003
153","30","3.017","26.7","10.0","36.7",".","23.3","3.3",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","104","2.801","19.2","8.7","33.7","9.6","18.3","8.7","1.0",".",".",".",".",".","1.0",".",".","."
"Heredity","160
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
080","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"Introductory Ecology","260
001","77","2.721","19.5","11.7","20.8","13.0","24.7","9.1","1.3",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","31","3.383","54.8","9.7","12.9","12.9",".","3.2","3.2",".",".",".",".",".","3.2",".",".","."
"Limnology-Aquatic Resources","315
001","138","2.689","14.5","8.0","36.2","6.5","22.5","7.2","2.9","0.7",".",".",".",".",".","1.4",".","."
"","316
001","23","3.615","39.1","47.8","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
002","16","3.622","56.3","25.0","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
