"Intro to Biostats for Pop Hlth","551
001","8","3.438","12.5","62.5","25.0",".","",".",".",".","",".",".","",".",".","",".","",".",".",".","."
"Introduction to Bioinformatics","576
001","9","3.143","33.3","11.1","11.1","11.1","",".","11.1","",".","22.2",".","",".",".","",".","",".",".",".","."
"Independent Study","699
001","6","4.000","100.0",".",".",".","",".",".",".","",".",".","",".",".","",".","",".",".",".","."
"Computn&Informatcs in Biol&Med","915
001","7","4.000","28.6",".",".",".","",".",".",".","","71.4",".","",".",".","",".","",".",".",".","."
"B M I
210","Dept. Total","127","3.587","47.2","23.6","15.0","0.8","",".","2.4","",".","8.7","",".",".","",".","",".","2.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.750","50.0","50.0",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","9","3.556","44.4","22.2","33.3",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","6","3.833","66.7","33.3",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","17","3.676","52.9","29.4","17.6",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","22","3.842","63.6","18.2","4.5",".","",".",".","",".","13.6","",".",".","",".","",".",".",".",".","."
"Graduate","","50","3.495","40.0","24.0","16.0","2.0","",".","2.0","",".","16.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","2","4.000","50.0",".",".",".","",".",".","",".",".","",".",".","",".","",".","50.0",".",".","."
"Prof Yr 4","","36","3.485","44.4","25.0","19.4",".","",".","5.6","",".",".","",".",".","",".","",".","5.6",".",".","."
"Professionals","","38","3.500","44.7","23.7","18.4",".","",".","5.3","",".",".","",".",".","",".","",".","7.9",".",".","."
"","Dept. Total","127","3.587","47.2","23.6","15.0","0.8","",".","2.4","",".","8.7","",".",".","",".","",".","2.4",".",".","."
