"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"HDFS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","",".",".",".",".",".",".",".",".","",".",".","",".",".",".","100.0",".","."
"Sophomore","","121","3.484","42.1","29.8","15.7","9.1","1.7","0.8",".",".","",".",".","",".",".","0.8",".",".","."
"Junior","","237","3.546","50.6","24.1","15.6","4.6","3.4","0.4","0.4",".","",".",".","",".",".","0.8",".",".","."
"Senior","","340","3.705","62.6","22.6","7.4","2.9","1.5","0.6","0.3",".","",".",".","",".",".","1.8","0.3",".","."
"Undergraduates","","699","3.613","54.9","24.3","11.6","4.6","2.1","0.6","0.3",".","",".",".","",".",".","1.3","0.3",".","."
"Special","","5","3.769","60.0","40.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","57","3.761","50.9","19.3","7.0",".",".",".",".","14.0","",".",".","",".","7.0","1.8",".",".","."
"","Dept. Total","761","3.622","54.7","24.0","11.2","4.2","2.0","0.5","0.3","1.1","",".",".","",".","0.5","1.3","0.3",".","."
