"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","179","3.337","25.7","39.7","25.7","3.9","1.1","1.1","2.2","0.6",".",".",".",".",".",".",".","."
"","120","001","85","2.753","17.6","15.3","16.5","17.6","25.9","5.9","1.2",".",".",".",".",".",".",".",".","."
"","120","002","113","2.995","21.2","18.6","22.1","17.7","16.8",".","1.8","1.8",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","198","2.890","19.7","17.2","19.7","17.7","20.7","2.5","1.5","1.0",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","41","2.947","19.5","12.2","29.3","12.2","14.6","4.9",".","2.4",".",".",".",".","4.9",".",".","."
"Resources and People","139","001","37","2.770","10.8","16.2","29.7","24.3","8.1","10.8",".",".",".",".",".",".",".",".",".","."
"Map Reading&Interpretation","170","001","169","3.098","29.6","23.1","17.8","15.4","7.1","3.0","3.6","0.6",".",".",".",".",".",".",".","."
"Plants and Man","240","001","30","3.034","23.3","6.7","46.7",".","16.7","3.3",".",".",".",".",".",".","3.3",".",".","."
"SE Asia:Vietnam to Philipns","244","001","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","16","3.500","43.8","12.5",".","6.3",".","6.3",".",".",".",".",".",".","31.3",".",".","."
"Africa: Introductory Survey","277","001","9","2.889","11.1","22.2","22.2","22.2","22.2",".",".",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","56","3.472","26.8","42.9","19.6","3.6","1.8",".",".","1.8",".",".",".",".","1.8",".","1.8","."
"Geomorphology","320","001","11","3.182","45.5","9.1","27.3","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"Analysis of Physical Envr","325","001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","339","001","49","2.734","10.2","10.2","36.7","16.3","14.3","6.1","2.0","2.0",".",".",".",".",".",".",".","2.0"
"","339","002","51","2.660","9.8","5.9","33.3","17.6","27.5","2.0","2.0",".",".",".",".",".",".","2.0",".","."
"Environmental Conservation","","Course Total","100","2.696","10.0","8.0","35.0","17.0","21.0","4.0","2.0","1.0",".",".",".",".",".","1.0",".","1.0"
"Europe","349","001","194","3.362","37.6","19.6","25.3","9.8","3.6","1.0","0.5","1.5",".",".",".",".","1.0",".",".","."
"Introduction to Cartography","370","001","34","2.613","11.8","14.7","14.7","8.8","32.4","8.8",".",".",".",".",".",".","8.8",".",".","."
"Intro to Geog Info Systems","377","001","61","2.914","14.8","19.7","32.8","9.8","9.8","6.6","1.6","3.3",".",".",".",".","1.6",".",".","."
"Amer Environmental History","460","001","35","3.328","22.9","25.7","34.3","5.7","2.9",".",".","2.9",".",".",".",".","2.9",".",".","2.9"
"Space&Place-A Geog Expernce","501","001","22","3.568","36.4","45.5","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch the City: Qual Strategies","503","001","13","3.385","23.1","38.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Landform Geography","524","001","8","3.571","37.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Soil Geomorphology","525","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture and Environment","537","001","31","3.317","29.0","22.6","32.3","6.5","6.5",".",".",".",".",".",".",".","3.2",".",".","."
"Adv Quantitative Methods","560","001","23","3.457","39.1","39.1","17.4",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","68","3.603","44.1","32.4","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","681","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","682","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro:Geogrphc Inquiry&Anal","765","001","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","Page 213 of 402",""
