"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"Thesis","Course Total","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"ECON
296","Dept. Total","4583","2.998","19.2","21.5","25.8","16.4","10.4","3.1","1.5","0.8","0.0","0.0",".","0.1","0.5","0.1","0.4","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"Freshmen","","739","3.026","18.5","24.8","24.9","16.5","11.5","2.3","1.4",".",".",".",".",".","0.1",".",".","."
"Sophomore","","1181","2.940","13.5","23.5","27.5","19.6","10.7","3.2","1.4","0.2","0.1",".",".",".","0.3","0.1",".","."
"Junior","","927","2.887","14.1","20.5","27.3","18.3","13.5","4.2","1.4",".",".",".",".",".","0.6",".",".","."
"Senior","","1238","2.940","17.0","20.0","27.7","16.9","10.6","3.9","1.9","0.8",".","0.1",".","0.2","0.6","0.1","0.2","0.1"
"Undergraduates","","4085","2.945","15.6","22.0","27.1","17.9","11.4","3.5","1.6","0.3","0.0","0.0",".","0.0","0.5","0.0","0.0","0.0"
"Special","","57","3.253","35.1","17.5","21.1","7.0","7.0","1.8","1.8","8.8",".",".",".",".",".",".",".","."
"Graduate","","441","3.610","51.0","17.9","15.2","3.4","1.4",".","0.9","4.1",".",".",".","0.7","1.4","0.7","3.4","."
"","Dept. Total","4583","2.998","19.2","21.5","25.8","16.4","10.4","3.1","1.5","0.8","0.0","0.0",".","0.1","0.5","0.1","0.4","0.0"
