"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"STAT
932","Dept. Total","2067","3.267","34.2","20.6","23.7","8.8","6.0","1.9","1.4","1.3","",".",".","",".","0.8","0.3","0.2","0.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","19","3.345","52.6","26.3","5.3",".","5.3","5.3","5.3",".","",".",".","",".",".",".",".",".","."
"Sophomore","","394","3.242","32.5","21.6","25.1","10.7","6.3","2.8","0.8",".","",".",".","",".",".",".","0.3",".","."
"Junior","","673","3.170","28.8","21.4","27.0","10.3","8.3","2.2","1.5",".","",".",".","",".",".","0.3",".","0.1","."
"Senior","","548","3.179","31.6","20.3","24.1","11.1","7.1","2.2","2.2","0.4","",".",".","",".",".","0.7","0.2","0.2","."
"Undergraduates","","1634","3.193","30.9","21.1","25.3","10.5","7.4","2.4","1.6","0.1","",".",".","",".",".","0.4","0.1","0.1","."
"Special","","17","3.348","52.9","5.9","11.8","5.9","5.9",".","5.9","11.8","",".",".","",".",".",".",".",".","."
"Graduate","","414","3.583","46.1","19.3","17.9","2.2","0.7",".","0.5","5.3","",".",".","",".","3.9","0.2","0.5","3.4","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".","",".",".",".",".",".","."
"","Dept. Total","2067","3.267","34.2","20.6","23.7","8.8","6.0","1.9","1.4","1.3","",".",".","",".","0.8","0.3","0.2","0.8","."
