"","990
022","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
028","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
032","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Thesis","Course Total","4","***","","","","","","","","","","","","","","","","","","","","",""
"PORTUG
782","Dept. Total","198","3.390","41.9","17.2","19.2","5.6","10.1","",".","",".","4.5","",".",".","",".","",".","1.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","33","3.547","51.5","12.1","27.3","3.0","3.0","",".","",".",".","",".",".","",".","",".","3.0",".",".","."
"Sophomore","","45","3.250","37.8","17.8","20.0","6.7","17.8","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","40","3.073","27.5","15.0","22.5","12.5","20.0","",".","",".","2.5","",".",".","",".","",".",".",".",".","."
"Senior","","41","3.530","53.7","19.5","14.6","4.9","7.3","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","159","3.338","42.1","16.4","20.8","6.9","12.6","",".","",".","0.6","",".",".","",".","",".","0.6",".",".","."
"Special","","4","4.000","25.0",".",".",".",".","",".","",".","75.0","",".",".","",".","",".",".",".",".","."
"Graduate","","34","3.708","44.1","20.6","14.7",".",".","",".","",".","14.7","",".",".","",".","",".","5.9",".",".","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","198","3.390","41.9","17.2","19.2","5.6","10.1","",".","",".","4.5","",".",".","",".","",".","1.5",".",".","."
